name,year,out,in,tot,tourn_type,tourn_year,hole,score,par,ob,water,side,rel_to_par
A1,12,45,46,91,sectionals,2011,1,7,5,TRUE,TRUE,front,2
A2,12,41,46,87,sectionals,2011,1,5,5,TRUE,TRUE,front,0
A3,12,49,52,101,sectionals,2011,1,7,5,TRUE,TRUE,front,2
A4,11,51,45,96,sectionals,2011,1,8,5,TRUE,TRUE,front,3
A5,11,51,64,115,sectionals,2011,1,14,5,TRUE,TRUE,front,9
A6,11,41,44,85,sectionals,2011,1,6,5,TRUE,TRUE,front,1
A7,11,47,47,94,sectionals,2011,1,7,5,TRUE,TRUE,front,2
A8,12,50,46,96,sectionals,2011,1,6,5,TRUE,TRUE,front,1
A9,9,49,57,106,sectionals,2011,1,7,5,TRUE,TRUE,front,2
A10,12,53,50,103,sectionals,2011,1,11,5,TRUE,TRUE,front,6
A11,11,43,44,87,sectionals,2011,1,7,5,TRUE,TRUE,front,2
A12,10,47,52,99,sectionals,2011,1,8,5,TRUE,TRUE,front,3
A13,12,52,48,100,sectionals,2011,1,6,5,TRUE,TRUE,front,1
A14,12,44,48,92,sectionals,2011,1,6,5,TRUE,TRUE,front,1
A15,11,57,52,109,sectionals,2011,1,8,5,TRUE,TRUE,front,3
A16,10,46,47,93,sectionals,2011,1,6,5,TRUE,TRUE,front,1
A17,10,55,51,106,sectionals,2011,1,7,5,TRUE,TRUE,front,2
A18,11,53,62,115,sectionals,2011,1,9,5,TRUE,TRUE,front,4
A19,12,46,53,99,sectionals,2011,1,8,5,TRUE,TRUE,front,3
A20,9,49,43,92,sectionals,2011,1,6,5,TRUE,TRUE,front,1
A21,12,42,45,87,sectionals,2011,1,6,5,TRUE,TRUE,front,1
A22,11,45,49,94,sectionals,2011,1,7,5,TRUE,TRUE,front,2
A23,11,46,53,99,sectionals,2011,1,5,5,TRUE,TRUE,front,0
A24,10,50,47,97,sectionals,2011,1,7,5,TRUE,TRUE,front,2
A25,10,45,47,92,sectionals,2011,1,6,5,TRUE,TRUE,front,1
A26,12,50,47,97,sectionals,2011,1,6,5,TRUE,TRUE,front,1
A27,12,41,44,85,sectionals,2011,1,5,5,TRUE,TRUE,front,0
A28,12,53,45,98,sectionals,2011,1,8,5,TRUE,TRUE,front,3
A29,9,47,47,94,sectionals,2011,1,6,5,TRUE,TRUE,front,1
A30,9,45,46,91,sectionals,2011,1,8,5,TRUE,TRUE,front,3
A31,11,44,44,88,sectionals,2011,1,6,5,TRUE,TRUE,front,1
A32,12,43,53,96,sectionals,2011,1,6,5,TRUE,TRUE,front,1
A33,10,50,54,104,sectionals,2011,1,7,5,TRUE,TRUE,front,2
A34,11,49,46,95,sectionals,2011,1,7,5,TRUE,TRUE,front,2
A35,11,55,54,109,sectionals,2011,1,9,5,TRUE,TRUE,front,4
A36,10,48,48,96,sectionals,2011,1,6,5,TRUE,TRUE,front,1
A37,12,45,51,96,sectionals,2011,1,6,5,TRUE,TRUE,front,1
A38,12,49,50,99,sectionals,2011,1,7,5,TRUE,TRUE,front,2
A39,10,50,50,100,sectionals,2011,1,8,5,TRUE,TRUE,front,3
A40,11,58,49,107,sectionals,2011,1,9,5,TRUE,TRUE,front,4
A41,12,48,45,93,sectionals,2011,1,5,5,TRUE,TRUE,front,0
