rest_link,review_link,review_date,rest_name,recommendation,fish,potato,tartar,bread,misc,review,review_length,polarity,subjectivity
http://madisonfishfry.com/reviews.php?restaurant=1,http://madisonfishfry.com/reviews.php?restaurant=1&event=1240,2018-02-21,Jordan's Big 10 Pub,"Overall, I would not recommend this Fish Fry.",Fair,Good,Good,Excellent,Good,"I'll start by saying this isn't going to be a my most focused review. Sure, I ate the fish, and I'll tell you what I thought about it, but I was distracted and didn't really invest in it. That said, I still think what I have to say is accurate albeit maybe not as thorough as usual. Here's the back story - I was contacted by an editor from The Dish (the UW foodie magazine) to see if I'd be interested in talking about the Madison Fish Fry scene and whatnot. I agreed to do so only if we could do it at the Big 10 over a plate of fish and she wholeheartedly concurred. We met on a Wednesday (since the Big 10 has fish on Wednesdays) to sit down and chew the fat.For starters the Wednesday Fish Fry selection at the Big 10 pales in comparison to the expansive Friday menu. It's whittled down to perch and cod, and since I had my mind on freshwater fish I went the perch route (she the cod). Every other time I've had perch at the Big 10 it has been 5 fillets of the real deal yellow lake perch, but this time was different. This $12 plate had 3 fillets which were definitely not the genuine article in look or in taste. This fish was flaky and light, but had almost no flavor whatsoever whether it be in the fish or the breading. It's only saving grace was the revamped Big 10 tartar that clung to its coating and screamed ""I'm the zing you need!"" It was disappointing to say the least but not nearly as disappointing as......the fact there are no potato pancakes on Wednesday either. We had to settle for shoestring style fries, which to their credit, were perfectly acceptable, but not trademark side we were longing for. Whereas the PPs were absent the soft marble rye still showed up as did their homemade slaw which was regrettably forgettable under these circumstances. Clearly being distracted by gabbing about other fish is going to take some focus away from this review, but I still got to gauge the Wednesday Fish Fry at the Big 10 and it's just not the same. The fish was different, the sides were a shadow of themselves, and the whole experience just wasn't what you find on a Friday. Overall, we don't recommend this Wednesday Fish Fry, but HIGHLY recommend the FRIDAY FISH FRY at the Big 10. It's a night and day difference and something we're definitely happy we found out. For those who are interested, the interview with Daniella from The Dish is scheduled to appear in the Spring edition of the print and on-line magazines. It should be a good one! (i.e. I don't think I sounded like too big of an idiot) http://jordansbig10pub.squarespace.com1330 Regent StreetMadison, WI 53715     (608) 251-6375",2615,0.08427648578811371,0.4255426356589146
http://madisonfishfry.com/reviews.php?restaurant=1,http://madisonfishfry.com/reviews.php?restaurant=1&event=1161,2017-04-28,Jordan's Big 10 Pub,"Overall, I would highly recommend this Fish Fry.",Excellent,Excellent,Good,Good,Good,"I hear it all the time - ""That's a college bar. It can't have decent food, can it? Let's go somewhere else."" To these people I say ""Just give the Fish Fry a chance. Trust me."" The Big 10 has a big time Fish Fry, and it's the best near campus, and maybe downtown, period.For a ""college bar"" the Big 10 makes a pretty plate. Whether you go for the walleye (it comes two different ways), the cod, the perch, or the bluegill it will look like it was prepared with love (and it is). Today my eight bluegill fillets varied in size from: look-at-this-cute-little-bugger to whoa-look-at-this-monster!  Regardless of the discrepancy in girth each had the flavor you want and the light crisp breading you expect. A little seasoning in the mix lets you know it's there without burying the fish. It is simply excellent stuff and worthy of every bit of praise we've bestowed upon it. The Big 10 does mostly all the fish, and unlike many places does mostly all the sides, including potato pancakes! Sure, the shoestring-style fries are great, and sweet potato fries do the job, but the potato pancakes (which are all too rare in Madison) are where it's at. These are thicker than their Milwaukee-style counterparts and come with some homemade apple compote (which is essentially a fancy apple sauce with big chunks of apple and a cinnamon-y sweetness). When you add it all up they make for a side that no other place in Madison can match and while we'd personally love a little more onion in there and crispier edges, those are small fleas on a big dog. These are killer. I used to decry the tartar at the Big 10, but over time they have clearly seen the folly of their ways and made necessary changes. The sauce of today has evolved into a thick and creamy blend with a spectacular flavor. It completely complements the fish instead of fighting against it for attention. It's a 180 of the highest caliber and one that has endeared them to us (and hopefully all of Madison). Rounding out this Big Fish Fry is a big soft roll and a slaw with plenty of horseradish sprinkled in. Both do their part and are both a step above what 90% of places trot out there. Some people just don't want to believe that a ""dumpy little college bar"" can make a Fish Fry as great as their favorite supper club, but the Big 10 is here to prove them wrong. Overall, we highly recommend this Fish Fry and have no qualms about heaping more kudos upon it than we already have. Hell, I'm ready to go back for another round right now!  http://jordansbig10pub.squarespace.com1330 Regent StreetMadison, WI 53715     (608) 251-6375",2586,0.19936813186813188,0.4765628815628815
http://madisonfishfry.com/reviews.php?restaurant=1,http://madisonfishfry.com/reviews.php?restaurant=1&event=942,2014-09-12,Jordan's Big 10 Pub,"Overall, I would highly recommend this Fish Fry.",Excellent,Excellent,Excellent,Good,Good,"The Big 10 is featured in our article on Eater.com!Check it out here -  The Definitive Guide to Fish Fry in South-Central Wisconsinhttp://jordansbig10pub.squarespace.com1330 Regent StreetMadison, WI 53715     (608) 251-6375",223,0.0,0.1
http://madisonfishfry.com/reviews.php?restaurant=1,http://madisonfishfry.com/reviews.php?restaurant=1&event=917,2014-06-13,Jordan's Big 10 Pub,"Overall, I would highly recommend this Fish Fry.",Excellent,Excellent,Excellent,Good,Good,"If you find yourself on the UW campus on a Friday and youre in need of a Fish Fry there is really only one thing to do  go to the Big 10.The Big 10 has the best fish in the campus area hands down. Sure, there are a few other places to get your fill, but none of them really come close to the authenticity the Big 10 offers. Most of the other spots have cod and fries, but thats about it. The Big 10 has that and so much more; from bluegill to lake perch, to walleye to potato pancakes, they really do Fish Fry right. Today was a bluegill and potato pancakes day and the well-run kitchen had our platters ready in 10 minutes or so. The modern looking rectangular plate was piled high with seven fillets - a couple of which were real honkers. Each one was a tasty little nugget of joy featuring flaky meat and the Big 10s as advertised light breading. The resulting flavor combo is divine despite the fact that the breading could have used another dash of salt or maybe same garlic powder. Still, it was top-notch stuff. Weve always been fans of the Big 10s potato pancakes especially as they are some of the only youll find in the city. They are on the thick side as far as latkes go but are cooked up just right so there is still some crispiness around the perimeter. They house a really great flavor especially when paired with the homemade apple compote. A very unique and diverse tartar puts a perfect finishing touch on the fish with a hint of pimiento, and a just enough dill. Historically, the Big 10 was way too into the dill, but the percentage has been dialed way back recently which makes for a much more balanced blend. An incredibly firm white roll plays the part of the starch and is certainly not your grandmas dinner roll. It is dense and hearty but inexplicably dry, and while it is unique, I wouldnt say its any better than the norm. The creamy slaw is a little better than average though, with a potent horseradish blast that really keeps you coming back for more. While a lot of places on campus pay lip service to Fish Fry the Big 10 takes the Wisconsin tradition very seriously. The result is a Fish Fry that can go toe-to-toe with any in town, and proves that even academics love their fish. Overall, we highly recommend the bluegill at the Big 10 and look forward to our next rendezvous. http://jordansbig10pub.squarespace.com1330 Regent StreetMadison, WI 53715     (608) 251-6375",2413,0.16744109623015874,0.4221453373015873
http://madisonfishfry.com/reviews.php?restaurant=1,http://madisonfishfry.com/reviews.php?restaurant=1&event=856,2013-11-01,Jordan's Big 10 Pub,"Overall, I would highly recommend this Fish Fry.",Excellent,Good,Good,Good,Good,"The UW campus is a special place. This is especially true for those of us who were fortunate enough to attend the greatest university in all the land, and take the fond memories of college days with us. There are so many places to go, things to do, and beers to drink that it can take a full four years (and in some cases five or six) to get it all in. There is also no shortage of delicious food available at the campus-adjacent eateries, and with so many ways to fill your head you know there are plenty of ways to fill your belly too. When youre talking Fish Fry, the filling station of note is the Big 10.We had a couple prospective students staying with us for the weekend and we figured what better way to acquaint them with the Alma Mater than a stop on Regent. We showed up around 7 oclock, which is usually a risky proposition, but the Big 10 is a big place, and we had no problem rustling up a table for four. One of the many waitresses found us immediately, and sped off to grab us some drinks. By the time she got back with the beverages we were ready to order, and while they all went for non-fish items (theyll learn) I put in for the bluegill. Unlike the drinks, the fish arrived lickety-split, and was steaming hot. My fancy rectangular plate featured seven fish fillets riding on top of two of the Big 10s homemade potato pancakes, a cup of slaw, a cup of tartar, a crusty dinner roll, and a dish of apple compote for the pancakes. As you probably guessed, I wasted little time digging in. At first bite I could tell this was the classic Big 10 bluegill. The fillets varied in size from small to large with each coated in a light breading that features a smooth flavor, and an appropriate amount of seasoning. The fish itself was flaky and tender, with no rubbery textures or any overpowering flavors. Once a few of the fillets were eaten I was able to get at the potato pancakes and was happy with what I unearthed. The latkes were on the thick side (at least for potato pancakes), but were diverse and flavorful. Their onion-y undertone paired well with the cinnamon-rich, homemade compote, and added a welcome component to the Fish Fry. Adding even more diversity to the dinner plate was the Big 10s homemade tartar. While the sauce used to be a dilly disaster, it has smartened up over the years. The current rendition pairs nicely with freshwater fish, although its on the thin side and doesnt cling like Id like it to. Rounding out the plate was a spherical dinner roll, and some of the Big 10s homemade coleslaw. The roll was a little too dense for my tastes, but with a bunch of butter it became manageable. The finely-chopped slaw on the other hand was good from the get-go and put the finishing touch on what is definitely a Grade A Fish Fry. While the UW is a special place, the allure of the Fish Fry doesnt seem to resonate with the student community like it should (it certainly didnt strike a chord with our applicants-to-be). Fortunately for them there is plenty of time to learn the ropes, and there are places like the Big 10 to help them along the way. Overall, we highly recommend the bluegill at the Big 10, and are glad they are passing their wisdom on. I know Ill take a plate of their knowledge any day. On Fishconsin!  http://jordansbig10pub.squarespace.com1330 Regent StreetMadison, WI 53715     (608) 251-6375",3365,0.22444588744588745,0.4701428571428572
http://madisonfishfry.com/reviews.php?restaurant=1,http://madisonfishfry.com/reviews.php?restaurant=1&event=824,2013-07-19,Jordan's Big 10 Pub,"Overall, I would highly recommend this Fish Fry.",Excellent,Excellent,Good,Good,Good,"There are a lot of givens at the Big 10 Pub. Its a given that their tiny parking lot will be packed. Its a given that there will be sports on the many TVs. Its a given that there will be a ton of different fish to choose from on Fridays. Its a given that the wait staff will be buzzing all over filling orders, and be happy to do it. But mostly, its a given that people will be eating delicious food and be having a great time doing it. This is Badger country. This is Friday. This is how they do it at the Big 10.From my outpost at the bar I could see it all  the fish, the folks, the frying, and of course the beer. My $12.50 order of lake perch arrived just over five minutes after the waitress put my order in and looked simply amazing. While there were only three perch fillets, they were very large and very in charge. They ruled the rectangular platter with their visible seasoning and artfully curled edges. The pretty perch were punctuated perfectly with plenty of pepper and satisfactory sums of salt. The fish itself was even pretty when exposed, featuring a few tiny bones to go with the delicate meat. It was really tasty, but not necessarily plentiful I wouldve liked at least one more fillet. The fish were perched atop a pile of potato pancakes, and alongside the Big 10s homemade apple compote. The cakes were on the small side, but had a mellow, inviting flavor. While Id like to see a hint more onion in the mix, they were still really tasty. The accompanying compote was loaded with cinnamon and big apple chunks. While the viscous goo was hot and hospitable, it wasnt great with the pancakes since it was so spicy. However, it was a nice little dessert and welcome addition to the Fry. Ive never touted the Big 10 tartar and since its the same old recipe Im not going to start now. While it does seem that the dill has diminished over time there is still all sorts of stuff in it, but luckily most of them are benign. The fish is tasty with or without the sauce so you can simply take it or leave it. The bread at the Big 10 is in a constant state of flux, and this time it was a crusty little round rendition. While Id say it was step up from a plain old dinner roll it wasnt necessarily a big one. The finely-chopped coleslaw, on the other hand, was leaps and bounds above the mean and was finished off with a lovely horseradish pop. For all the givens at the Big 10, the most important one is this: they have a great Fish Fry. Overall, we highly recommend the lake perch, and have no doubt its the best youre going to find in the campus area. They do a great job sticking to what has traditionally made the Fish Fry so great while adding their own modern flair. While this aint your grandmas Fish Fry, she would probably like it just as much as you do. http://jordansbig10pub.squarespace.com1330 Regent StreetMadison, WI 53715     (608) 251-6375",2889,0.2382823129251701,0.5179724111866969
http://madisonfishfry.com/reviews.php?restaurant=1,http://madisonfishfry.com/reviews.php?restaurant=1&event=794,2013-03-29,Jordan's Big 10 Pub,"Overall, I would highly recommend this Fish Fry.",Excellent,Excellent,Good,Excellent,Good,"Judging a book by its cover can be dangerous. Judging a Fish Fry by its bar is even more dangerous. There are a lot of great Fish Frys hiding in places that you might not expect, and if you hold a preconceived notion of an establishment you might just be missing out on something special. This is exactly what happened to our friend Holly. Although Holly attended UW, shed only been to the Big 10 for football games. Needless to say, the atmosphere of a game day Saturday is a little bit different than every other day at Jordans joint. On normal days the chaos and jubilation of game day is replaced by real tables, a calming atmosphere, and quietly excellent food. It really is a good book, one worth reading. We rolled in to the Big 10 during the Michigan/Kansas game in the Sweet 16. Despite it being almost 9pm the place was plenty busy, but we somehow got a table with no problem. Our waitress-in-training came right over and had a round of drinks for us in no time  the Big 10 wait staff (whether in training or not) doesnt mess around. As we sipped our drinks, Michigan closed the gap, and just as our food showed up Trey Burke hit a deep 3 to send the game to OT. It was a miraculous shot, and signaled great things to come.  My bluegill platter was loaded with four of the small swimmers, and looked just amazing. The eight frail fillets were lightly breaded and seasoned just enough to take the edge off, but still let the bulk of the bluegill flavor through. It was incredibly tasty, and easily some of the best available in town. Holly picked the perch so I also got to try some of it as well. Peculiarly, while the B1G has always had real yellow perch in the past, something seemed off this Friday. These fillets were massive, and while they still showed the characteristic lake perch skin through the breading, they just seemed to too meaty to be yellow perch. Holly guessed they were ocean perch, but they didnt taste quite that fishy to me, and I presume the Big 10 would never stoop to those tricks.  I think it might have been Pike-Perch or one of the other species commonly associated with lake perch by distributors, but that is purely speculation. Regardless of the species, it was still tasty, but larger and flakier than anticipated, and just not quite right. My bluegill bungalow was lovingly built on a sturdy foundation of homemade potato pancakes. The concrete cakes were exceptional, with their only shortcoming being a lack of mortar (the homemade apple compote was sold out). While I gladly would have paid the extra buck and a quarter for the gooey goodness, it wasnt a total loss since the potato derivatives are delicious with or without it. The cakes were a little starchy, a little oniony, but massively delicious. The B1G tartar was also a triumph as the dill-doused blend of yesteryear is but a distant memory. While the latest thick and creamy incarnation still has a few random ingredients and a bit of dill, its just enough to perk it up, without weighing it down. The slaw was also great, and as finely chopped as is seemingly possible. The creamy concoction had a nice consistency and a little horsey-kick which kept it interesting. Weve become accustomed to the pump-rye roll at the Big 10, but this time we received a full-fledged half-slice of thick-cut marble-rye. It was soft and stanky, and paired perfectly with the coleslaw. Even though Hollys perch wasnt exactly what she was expecting she was still blown away at how nice everything at the Big 10 Pub actually was. She had only known it as a Badger Bar, and never considered it could be anything but. In reality, the Big 10 is much more than just a great place to watch the Badgers. It is a Fish Fry destination, and one of the best downtown Madison has to over. Touchdown Wisconsin! http://jordansbig10pub.squarespace.com1330 Regent StreetMadison, WI 53715     (608) 251-6375",3889,0.165868557160692,0.523390404851079
http://madisonfishfry.com/reviews.php?restaurant=1,http://madisonfishfry.com/reviews.php?restaurant=1&event=755,2012-11-14,Jordan's Big 10 Pub,"Overall, I would highly recommend this Fish Fry.",Excellent,Good,Good,Excellent,Good,"Normally when I patronize the Big 10 I stay on the freshwater side of the divide. When given the option, I tend to lean towards lake fish over ocean fish for a couple of reasons - 1) the limited availability of our freshwater friends, and 2) I think they just flat-out taste better. Of course, none of that matters when you show up on a Wednesday night when the only fish on special is cod. The Wednesday night special at the Big 10 consists of two long pieces of cod, your choice of potato, a cup of coleslaw, half a slice of rye bread, and a cup of tartar (basically the whole shebang) for $9.00. We had our food in practically no time which was no small feat since they were plenty busy for the Wisconsin/Florida basketball game. I started in on the fish and was a little surprised at just how good it was. The fillets were thin, but flaky and paired with a surprisingly light beer batter. The fish and batter blended well, and the coating didnt overpower fish in ay way. It was a very solid rendition of beer battered cod, and I think ol Gabe would be impressed. The fish rode on a bed shoestring-style fries that were plentiful, but lukewarm at best. Normally, I would have chosen the potato pancakes, but since it was Wednesday there was no mention of them. While the portion was generous, they werent hot and crispy which resulted in them being so-so rather than oh-so-good. A black Solo cup wielded a small, but adequate, amount of the Big 10s homemade tartar sauce. The allotment wasnt abundant, but lasted until the end since it had enough relish that it didnt need to be applied liberally. It really perked up the cod and left me wanting more. The thickly-cut rye bread also left me wanting more since it was only a half-slice. It paired really well with the zesty, finely-chopped coleslaw and had me really wondering where the remaining 50% went to. When youre talking Wednesday night Fish Frys you have to limit your expectations to some degree. Most places dont go full-bore since Fish Frys are a lot of work. The fact that the Big 10 even offers cod on Wednesdays is commendable and since Id probably never get it on Friday it was a good way to force myself into trying it. Overall, I highly recommend all the fish at the Big 10 and the cod is no exception. http://jordansbig10pub.squarespace.com1330 Regent StreetMadison, WI 53715     (608) 251-6375",2374,0.17089682539682538,0.42975661375661384
http://madisonfishfry.com/reviews.php?restaurant=1,http://madisonfishfry.com/reviews.php?restaurant=1&event=742,2012-10-05,Jordan's Big 10 Pub,"Overall, I would highly recommend this Fish Fry.",Excellent,Excellent,Good,Good,Good,"Ive grown progressively fonder of the Big 10 over the years. While I originally thought it was over-hyped (and over-dilled) they have made some subtle changes over the years that have really made me stand up and take notice. Essentially, theyve cut all the loose ends and are offering the best example of a comprehensive Fish Fry downtown Madison has to offer.  What do I mean when I say comprehensive? I mean they do all the major fish varieties (cod, lake perch, bluegill, and walleye), and most importantly, do them all well. They also feature potato pancakes which are very traditional but also very hard to find outside of the Milwaukee area. Since they offer so many kinds of tasty fish I always have a hard time choosing one, but usually settle on the perch or the bluegill. This time I landed on blue. In addition to dropping the dill from the tartar, the Big 10 has altered other parts of their Fish Fry. It all starts on the ground floor with some fancy new rectangular dinner plates  ooo la la. The quaint quadrilaterals are gracefully decorated with an abundance of fish, a couple of the cakes, a hearty dinner roll, and ramekins of: tartar, apple sauce, sour cream, and coleslaw. With such a masterpiece painted atop the one in front of me I almost couldnt bring myself to destroy it. My belly had other ideas... I started in on the fish and was wowed. It was likely the best fish I've had at the Big 10 to date and some of the better bluegill Ive had anywhere. The eight fillets were small (as you might expect expect), but were flaky and moist with just a hint of elasticity (as you should also expect). The fillets were home to a light and crumbly breading that had a good amount of seasoning for just the right balance. The spice worked well with the airy fish enhancing its subtle flavors to just the right extent. Quite Remarkable.Under the pile of sunfish hid a couple near-prefect potato pancakes. Like the bluegill, the PPs were well-seasoned and expertly fried. They were joined by what appeared to be a homemade applesauce that had big chunks of fruit in it. The cinnamon laden sauce topped the pancakes perfectly and added a luster that plain cakes didnt have. The applesauce was an amazing addition to the pancakes, and the duo was well worth the extra buck and a quarter they cost. I used to loathe the Big 10s tartar sauce since it was dominated by dill, and had all sorts of random stuff in it that threw the flavor off. The blend still has all kinds of items in it, but most are benign enough to let the mayo zest shine through, and whats more, the dill has been diminished to the point where it is unnoticeable. Touchdown Wisconsin! Rounding out this most impressive of Fish Frys was a beefy bun and some superb slaw. The baseball-sized roll was hearty and ample. The crusty loaf was dense as can be and ate like a meal. The slaw pranced along playfully behind radical roll, and was simply marvelous. It was a shining example of a finely-chopped mix that is perfectly zesty and incredibly satisfying. Talk about upping the ante The Big 10 just went all-in. It didnt happen overnight but they have morphed into something really great, and our representing the Fish Fry tradition admirably in a place where not many people expect to find it. Overall, I highly recommend this Fish Fry and have no problem calling it the best downtown Madison has to offer.  http://jordansbig10pub.squarespace.com1330 Regent StreetMadison, WI 53715     (608) 251-6375",3489,0.19715710518989207,0.49078985222427846
http://madisonfishfry.com/reviews.php?restaurant=1,http://madisonfishfry.com/reviews.php?restaurant=1&event=585,2011-04-29,Jordan's Big 10 Pub,"Overall, I would highly recommend this Fish Fry.",Excellent,Excellent,Good,Good,Good,"Im a believer! Yes, you heard right, the one-time skeptic has turned a full one-eighty, and is wholeheartedly endorsing the Big 10 Pub. What could they possibly have done to pull off such a feat, you ask? Well, it isnt all about tartar sauce, but thats a good place to start.We have always loved the fact that they Big 10 does all the major fish varieties, and does each one well. From piles of perch, to boatloads of bluegill, the Big 10 has a level of Fish Fry mastery that is rarely witnessed. While the fish at Jordans joint has always hit the mark, their subpar sauce was enough to send us elsewhere to get our Friday fix. Im happy to report that a changing of the guard has officially taken place.Matt, Reese and I rolled in to the Regent Street staple around noon and grabbed one of the open booths along the near wall. Our waiter came over once he saw us, and ran to grab us some drinks right away. When he came back two plates of perch and one of bluegill were ordered, all with potato pancakes as the side. He sped away again leaving us to talk about the previous evenings NFL Draft and ponder what the Vikings were thinking with their first round pick. Needless to say, we shared a few laughs at the dreadful franchises expense.The fish was ready in no time flat and sat in front of us in pristine condition. My bluegill looked larger than average, but I wasnt about to bitch about big fillets. As soon as I dug in I realized something was amiss  the fish tasted very good, but didnt have the bluegill allure. As I glanced around I quickly realized Reese accidentally got my plate, and I, his. We swapped fish posthaste and I took what remained of the bluegill fillets to task. The sun shone brightly on its namesake fish, bathing the critters in deliciousness. In comparison to the perch the bluegill was firmer, but still nice and flaky. Both were sheathed in the same light breading which had a pleasant flavor, but could have used a bit more salt. The perch was good as well, but slightly mushier than the bluegill. While the perch probably had a little better flavor, its texture was worse which leveled the playing field somewhat. By and large, both were good, but I would say the bluegill came out slightly ahead in this head-2-head fish-off.The Big 10 is well known as one of few places in the Mad City offering potato pancakes with their Fish Fry. In my experience the unique potato products have been hit and miss - always good, but rarely great. Today was a major exception, as the fancy spuds were perfectly fried and absolutely delicious. The crisp edges played off the supple interiors well, and were taken over the top by the chunky apple sauce that accompanied the divine dish.The homemade slaw that joined the melee was finely chopped, creamy, and right on the money; while the white roll was non-traditional with a very crusty crust, doughy middle. It was a nice departure from the old standby prepackaged roll, but made me wonder where their once proud rye escaped to?The fish at the Big 10 has always scored highly with us, but their dilly tartar was enough to put a damper on it. The recent revamp in tartar town has so greatly improved this Fish Fry that the whole shebang has been bumped into highly recommendable territory. The new sauce is much more mayo-y, with a generous allotment of relish, and a severe reduction in dill. It now compliments the fish rather than overwhelming it, which is exactly what we are looking for. Overall, we highly recommend both the bluegill and the lake perch at the Big 10. The fish is great, the potato pancakes are a welcome change of pace, and we really appreciate their new take on tartar. For around $10 you are treated to a full-on Fish Fry complete with all the trimmings which is a a heck of a deal, but can be more than most people expect to eat at lunchtime. When you belly up to the Big 10 be sure to bring your love of freshwater fish and a big appetite because this is one Fish Fry that goes all out regardless of the time of day. Believe that, we certainly do.http://jordansbig10pub.squarespace.com1330 Regent StreetMadison, WI 53715     (608) 251-6375",4144,0.23083454934578532,0.5008066215931385
