hole_1,hole_2,hole_3,hole_4,hole_5,hole_6,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12,hole_13,hole_14,hole_15,hole_16,hole_17,hole_18,title,url
4.0,3.0,6.0,5.0,3.0,4.0,2.0,4.0,5.0,2.0,3.0,3.0,3.0,4.0,6.0,4.0,3.0,5.0,Amateur Qualifier (The Oaks GC) - Steven Sanicki Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga18/event/wsga186/contest/1/contestant/2358/scorecard.htm
4.0,3.0,5.0,5.0,3.0,4.0,3.0,5.0,6.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,2.0,4.0,Amateur Qualifier (The Oaks GC) - Adam Fazio Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga18/event/wsga186/contest/1/contestant/2355/scorecard.htm
3.0,3.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,6.0,Amateur Qualifier (The Oaks GC) - Marc Shanks Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga18/event/wsga186/contest/1/contestant/2280/scorecard.htm
4.0,2.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,Amateur Qualifier (The Oaks GC) - Ethan Carrick Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga18/event/wsga186/contest/1/contestant/2376/scorecard.htm
4.0,3.0,5.0,6.0,3.0,5.0,3.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,Amateur Qualifier (The Oaks GC) - Johnny Decker Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga18/event/wsga186/contest/1/contestant/2179/scorecard.htm
3.0,4.0,4.0,5.0,3.0,5.0,4.0,3.0,5.0,3.0,4.0,4.0,5.0,4.0,5.0,4.0,3.0,5.0,Amateur Qualifier (The Oaks GC) - Tom Schoewe Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga18/event/wsga186/contest/1/contestant/2170/scorecard.htm
4.0,4.0,4.0,5.0,3.0,4.0,3.0,5.0,5.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,6.0,Amateur Qualifier (The Oaks GC) - Jed Baranczyk Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga18/event/wsga186/contest/1/contestant/2268/scorecard.htm
4.0,3.0,5.0,4.0,4.0,5.0,2.0,5.0,7.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,Amateur Qualifier (The Oaks GC) - Austin Kendziorski Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga18/event/wsga186/contest/1/contestant/2449/scorecard.htm
4.0,4.0,5.0,5.0,3.0,7.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,6.0,Amateur Qualifier (The Oaks GC) - Adam Miller Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga18/event/wsga186/contest/1/contestant/2391/scorecard.htm
4.0,3.0,5.0,5.0,3.0,4.0,3.0,3.0,5.0,3.0,6.0,5.0,3.0,5.0,4.0,4.0,3.0,6.0,Amateur Qualifier (The Oaks GC) - James Gilmore Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga18/event/wsga186/contest/1/contestant/2422/scorecard.htm
5.0,3.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,5.0,3.0,6.0,Amateur Qualifier (The Oaks GC) - Jakob Schroeckenthaler Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga18/event/wsga186/contest/1/contestant/2315/scorecard.htm
4.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,5.0,5.0,3.0,5.0,Amateur Qualifier (The Oaks GC) - Garrett Gosh Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga18/event/wsga186/contest/1/contestant/2277/scorecard.htm
4.0,4.0,5.0,6.0,3.0,3.0,3.0,4.0,4.0,3.0,5.0,6.0,3.0,4.0,5.0,3.0,4.0,5.0,Amateur Qualifier (The Oaks GC) - Danny Sanicki Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga18/event/wsga186/contest/1/contestant/2360/scorecard.htm
5.0,3.0,5.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,5.0,5.0,4.0,5.0,Amateur Qualifier (The Oaks GC) - Doyle Kelly Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga18/event/wsga186/contest/1/contestant/2149/scorecard.htm
