hole#,par,handicap,yards,eaglesegl,birdiesbrd,parspar,bogeysbog,d_bogeysdbl,other,avg,to_par,url
1,4,15.0,360,0,9,32,17,5,0,4.28,0.28,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/course/edelweisschaletcc/stat/index.htm
2,4,7.0,405,0,1,25,23,13,1,4.82,0.82,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/course/edelweisschaletcc/stat/index.htm
3,5,9.0,565,1,13,33,13,2,1,5.07,0.07,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/course/edelweisschaletcc/stat/index.htm
4,3,17.0,200,0,4,26,28,5,0,3.53,0.53,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/course/edelweisschaletcc/stat/index.htm
5,4,1.0,420,0,3,40,17,3,0,4.31,0.31,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/course/edelweisschaletcc/stat/index.htm
6,4,11.0,360,0,4,32,22,5,0,4.44,0.44,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/course/edelweisschaletcc/stat/index.htm
7,3,13.0,185,0,1,30,24,6,2,3.65,0.65,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/course/edelweisschaletcc/stat/index.htm
8,5,3.0,505,3,12,34,12,1,1,4.98,-0.02,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/course/edelweisschaletcc/stat/index.htm
9,4,5.0,410,0,1,29,25,6,2,4.69,0.69,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/course/edelweisschaletcc/stat/index.htm
10,4,6.0,360,0,4,29,23,4,2,4.56,0.56,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/course/edelweisschaletcc/stat/index.htm
11,5,4.0,520,0,12,30,13,6,1,5.27,0.27,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/course/edelweisschaletcc/stat/index.htm
12,4,10.0,400,0,4,41,13,3,1,4.29,0.29,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/course/edelweisschaletcc/stat/index.htm
13,3,18.0,195,0,3,31,24,4,0,3.46,0.46,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/course/edelweisschaletcc/stat/index.htm
14,4,16.0,350,0,3,34,18,4,3,4.54,0.54,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/course/edelweisschaletcc/stat/index.htm
15,5,2.0,495,0,9,33,8,8,3,5.4,0.4,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/course/edelweisschaletcc/stat/index.htm
16,4,12.0,410,0,2,31,17,3,8,4.78,0.78,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/course/edelweisschaletcc/stat/index.htm
17,3,14.0,185,0,2,20,27,12,0,3.8,0.8,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/course/edelweisschaletcc/stat/index.htm
18,4,8.0,325,0,5,25,24,5,2,4.57,0.57,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/course/edelweisschaletcc/stat/index.htm
Totals,72,,6650,4,92,555,348,95,27,80.44,8.44,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/course/edelweisschaletcc/stat/index.htm
