hole_1,hole_2,hole_3,hole_4,hole_5,hole_6,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12,hole_13,hole_14,hole_15,hole_16,hole_17,hole_18,title,url
4.0,5.0,4.0,3.0,4.0,4.0,3.0,5.0,3.0,4.0,5.0,4.0,3.0,4.0,5.0,4.0,3.0,3.0,Amateur Qualifier (Edelweiss Chalet CC) - Craig Hodgson Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1720/scorecard.htm
4.0,4.0,4.0,3.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,3.0,Amateur Qualifier (Edelweiss Chalet CC) - Adam Miller Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1661/scorecard.htm
3.0,4.0,5.0,2.0,4.0,3.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,4.0,4.0,3.0,Amateur Qualifier (Edelweiss Chalet CC) - Sean Halverson Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1728/scorecard.htm
4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,5.0,6.0,5.0,4.0,2.0,4.0,5.0,4.0,4.0,4.0,Amateur Qualifier (Edelweiss Chalet CC) - Mark Shulla Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1614/scorecard.htm
5.0,4.0,5.0,2.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0,4.0,2.0,4.0,5.0,4.0,3.0,5.0,Amateur Qualifier (Edelweiss Chalet CC) - Mike Murphy Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1704/scorecard.htm
4.0,4.0,4.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,Amateur Qualifier (Edelweiss Chalet CC) - Jack (John) Blair Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1772/scorecard.htm
4.0,5.0,5.0,3.0,5.0,4.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,Amateur Qualifier (Edelweiss Chalet CC) - Charlie Baumann Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1569/scorecard.htm
4.0,3.0,6.0,4.0,5.0,4.0,2.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,Amateur Qualifier (Edelweiss Chalet CC) - John Klus Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1634/scorecard.htm
4.0,5.0,4.0,2.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,6.0,Amateur Qualifier (Edelweiss Chalet CC) - Drew Zimmerman Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1664/scorecard.htm
3.0,5.0,6.0,3.0,3.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,Amateur Qualifier (Edelweiss Chalet CC) - Eric Goldapske Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1620/scorecard.htm
5.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,6.0,3.0,5.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,Amateur Qualifier (Edelweiss Chalet CC) - Tom Schoewe Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1689/scorecard.htm
4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,Amateur Qualifier (Edelweiss Chalet CC) - Matt Prellwitz Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1747/scorecard.htm
4.0,4.0,5.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,9.0,3.0,3.0,Amateur Qualifier (Edelweiss Chalet CC) - Sam Klobucar Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1667/scorecard.htm
5.0,4.0,5.0,4.0,4.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,Amateur Qualifier (Edelweiss Chalet CC) - Ben Gilles Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1602/scorecard.htm
5.0,6.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,Amateur Qualifier (Edelweiss Chalet CC) - Mitchell Steiner Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1640/scorecard.htm
5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,6.0,4.0,2.0,4.0,Amateur Qualifier (Edelweiss Chalet CC) - Derek Pirkl Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1698/scorecard.htm
5.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,3.0,4.0,Amateur Qualifier (Edelweiss Chalet CC) - Brent Wileman Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1581/scorecard.htm
4.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,5.0,3.0,4.0,5.0,4.0,3.0,6.0,Amateur Qualifier (Edelweiss Chalet CC) - Tony Vant Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1765/scorecard.htm
4.0,4.0,5.0,3.0,5.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,7.0,4.0,3.0,5.0,Amateur Qualifier (Edelweiss Chalet CC) - Mike Aumann Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1551/scorecard.htm
3.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,6.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,Amateur Qualifier (Edelweiss Chalet CC) - Brandon Wilson Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1692/scorecard.htm
5.0,5.0,4.0,3.0,5.0,4.0,3.0,5.0,6.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,Amateur Qualifier (Edelweiss Chalet CC) - Grant Burish Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1617/scorecard.htm
5.0,4.0,5.0,3.0,5.0,4.0,3.0,5.0,5.0,4.0,6.0,5.0,3.0,4.0,5.0,5.0,3.0,4.0,Amateur Qualifier (Edelweiss Chalet CC) - Matthew Zimmerman Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1566/scorecard.htm
4.0,4.0,5.0,3.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,5.0,Amateur Qualifier (Edelweiss Chalet CC) - Sean Murphy Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1578/scorecard.htm
4.0,4.0,6.0,4.0,4.0,4.0,4.0,6.0,4.0,4.0,6.0,4.0,3.0,4.0,5.0,4.0,3.0,5.0,Amateur Qualifier (Edelweiss Chalet CC) - Jensen Peck Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1611/scorecard.htm
4.0,5.0,6.0,3.0,3.0,4.0,3.0,6.0,4.0,5.0,5.0,4.0,3.0,4.0,5.0,7.0,3.0,5.0,Amateur Qualifier (Edelweiss Chalet CC) - Brady Thomas Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1593/scorecard.htm
3.0,5.0,7.0,5.0,4.0,4.0,3.0,5.0,5.0,3.0,6.0,6.0,4.0,4.0,5.0,3.0,4.0,3.0,Amateur Qualifier (Edelweiss Chalet CC) - Grant Germano Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1575/scorecard.htm
4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,6.0,4.0,5.0,4.0,3.0,4.0,7.0,5.0,3.0,4.0,Amateur Qualifier (Edelweiss Chalet CC) - Nathan Farrey Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1655/scorecard.htm
4.0,4.0,5.0,4.0,4.0,6.0,3.0,5.0,5.0,5.0,6.0,4.0,3.0,3.0,5.0,5.0,5.0,4.0,Amateur Qualifier (Edelweiss Chalet CC) - Austin Gaby Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1646/scorecard.htm
4.0,6.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,7.0,3.0,4.0,4.0,4.0,4.0,5.0,Amateur Qualifier (Edelweiss Chalet CC) - Rollin Petersen Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1631/scorecard.htm
3.0,4.0,6.0,3.0,6.0,5.0,3.0,6.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,7.0,4.0,4.0,Amateur Qualifier (Edelweiss Chalet CC) - Karl Reynolds Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1649/scorecard.htm
4.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,6.0,4.0,4.0,6.0,5.0,4.0,5.0,5.0,Amateur Qualifier (Edelweiss Chalet CC) - Christopher Severson Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1628/scorecard.htm
3.0,5.0,6.0,4.0,4.0,5.0,4.0,8.0,5.0,4.0,5.0,3.0,3.0,4.0,5.0,5.0,3.0,4.0,Amateur Qualifier (Edelweiss Chalet CC) - Jason Jochem Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1670/scorecard.htm
4.0,6.0,3.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,8.0,5.0,4.0,6.0,Amateur Qualifier (Edelweiss Chalet CC) - Cory Aune Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1677/scorecard.htm
3.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,7.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,Amateur Qualifier (Edelweiss Chalet CC) - Kyle Schroeder Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1557/scorecard.htm
5.0,6.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,3.0,4.0,Amateur Qualifier (Edelweiss Chalet CC) - Jim Teymer Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1714/scorecard.htm
3.0,4.0,5.0,4.0,4.0,4.0,3.0,6.0,4.0,5.0,6.0,4.0,3.0,4.0,7.0,7.0,3.0,5.0,Amateur Qualifier (Edelweiss Chalet CC) - Andrew Yontz Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1768/scorecard.htm
6.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,Amateur Qualifier (Edelweiss Chalet CC) - Lukas Poggensee Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1759/scorecard.htm
