hole#,par,handicap,yards,eaglesegl,birdiesbrd,parspar,bogeysbog,d_bogeysdbl,other,avg,to_par,url
1,4,14.0,342,0,4,23,10,1,1,4.28,0.28,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/course/wausaucc/stat/index.htm
2,5,8.0,480,1,11,20,5,2,0,4.89,-0.11,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/course/wausaucc/stat/index.htm
3,4,12.0,374,0,8,21,9,1,0,4.07,0.07,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/course/wausaucc/stat/index.htm
4,4,4.0,355,1,3,22,12,1,0,4.23,0.23,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/course/wausaucc/stat/index.htm
5,3,10.0,193,0,0,26,12,1,0,3.35,0.35,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/course/wausaucc/stat/index.htm
6,5,6.0,539,0,15,19,5,0,0,4.74,-0.26,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/course/wausaucc/stat/index.htm
7,4,2.0,430,0,0,21,13,4,1,4.61,0.61,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/course/wausaucc/stat/index.htm
8,4,18.0,336,0,2,28,9,0,0,4.17,0.17,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/course/wausaucc/stat/index.htm
9,3,16.0,150,0,3,21,11,3,1,3.43,0.43,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/course/wausaucc/stat/index.htm
10,4,13.0,353,0,3,26,10,0,0,4.17,0.17,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/course/wausaucc/stat/index.htm
11,4,1.0,408,0,0,28,8,3,0,4.35,0.35,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/course/wausaucc/stat/index.htm
12,3,15.0,146,0,7,24,6,1,1,3.1,0.1,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/course/wausaucc/stat/index.htm
13,4,11.0,347,0,5,24,8,2,0,4.17,0.17,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/course/wausaucc/stat/index.htm
14,4,3.0,405,0,2,24,8,5,0,4.41,0.41,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/course/wausaucc/stat/index.htm
15,5,17.0,486,1,11,21,4,2,0,4.87,-0.13,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/course/wausaucc/stat/index.htm
16,4,5.0,412,0,4,17,15,3,0,4.43,0.43,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/course/wausaucc/stat/index.htm
17,3,9.0,226,1,0,18,15,4,1,3.61,0.61,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/course/wausaucc/stat/index.htm
18,4,7.0,406,0,5,21,11,2,0,4.25,0.25,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/course/wausaucc/stat/index.htm
Totals,71,,6388,4,83,404,171,35,5,75.13,4.13,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/course/wausaucc/stat/index.htm
1,4,14.0,340,0,3,23,19,3,1,4.51,0.51,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/course/wausaucc/stat/index.htm
2,5,8.0,480,0,0,32,10,5,2,5.53,0.53,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/course/wausaucc/stat/index.htm
3,4,12.0,370,0,8,21,10,10,0,4.44,0.44,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/course/wausaucc/stat/index.htm
4,4,4.0,355,0,3,24,21,0,1,4.48,0.48,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/course/wausaucc/stat/index.htm
5,3,10.0,180,0,3,30,14,2,0,3.3,0.3,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/course/wausaucc/stat/index.htm
6,5,6.0,535,0,7,16,17,8,1,5.59,0.59,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/course/wausaucc/stat/index.htm
7,4,2.0,390,0,4,29,11,4,1,4.36,0.36,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/course/wausaucc/stat/index.htm
8,4,18.0,336,0,7,24,15,3,0,4.28,0.28,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/course/wausaucc/stat/index.htm
9,3,16.0,145,0,4,32,11,2,0,3.22,0.22,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/course/wausaucc/stat/index.htm
10,4,13.0,350,0,6,24,16,1,2,4.36,0.36,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/course/wausaucc/stat/index.htm
11,4,1.0,405,0,4,26,12,5,2,4.48,0.48,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/course/wausaucc/stat/index.htm
12,3,15.0,139,0,3,25,19,2,0,3.4,0.4,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/course/wausaucc/stat/index.htm
13,4,11.0,310,0,5,25,14,4,1,4.42,0.42,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/course/wausaucc/stat/index.htm
14,4,3.0,395,0,5,24,17,3,0,4.36,0.36,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/course/wausaucc/stat/index.htm
15,5,17.0,485,0,19,23,5,0,2,4.83,-0.17,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/course/wausaucc/stat/index.htm
16,4,5.0,410,0,5,13,19,12,0,4.77,0.77,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/course/wausaucc/stat/index.htm
17,3,9.0,211,0,1,23,15,8,2,3.73,0.73,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/course/wausaucc/stat/index.htm
18,4,7.0,406,0,5,20,20,2,2,4.51,0.51,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/course/wausaucc/stat/index.htm
Totals,71,,6242,0,92,434,265,74,17,78.57,7.57,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/course/wausaucc/stat/index.htm
1,4,14.0,340,0,7,21,3,3,1,4.14,0.14,https://wsga.bluegolf.com/bluegolf/wsga14/event/wsga1441/contest/1/course/wausaucc/stat/index.htm
2,5,8.0,485,0,1,25,8,0,1,5.28,0.28,https://wsga.bluegolf.com/bluegolf/wsga14/event/wsga1441/contest/1/course/wausaucc/stat/index.htm
