hole_1,hole_2,hole_3,hole_4,hole_5,hole_6,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12,hole_13,hole_14,hole_15,hole_16,hole_17,hole_18,title,url
5.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,3.0,5.0,3.0,3.0,4.0,Wisconsin State Open Qualifier #3 - Anthony Aicher (a) Scorecard | Wisconsin PGA,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/contestant/571/scorecard.htm
4.0,4.0,3.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,Wisconsin State Open Qualifier #3 - Kevin Schoppe Scorecard | Wisconsin PGA,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/contestant/608/scorecard.htm
5.0,4.0,3.0,4.0,3.0,5.0,5.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,Wisconsin State Open Qualifier #3 - Matthew Sandquist (a) Scorecard | Wisconsin PGA,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/contestant/586/scorecard.htm
3.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,5.0,5.0,4.0,4.0,Wisconsin State Open Qualifier #3 - Steve Johnson (a) Scorecard | Wisconsin PGA,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/contestant/589/scorecard.htm
4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,5.0,4.0,4.0,3.0,Wisconsin State Open Qualifier #3 - Jason Klein Scorecard | Wisconsin PGA,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/contestant/621/scorecard.htm
4.0,4.0,5.0,4.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,Wisconsin State Open Qualifier #3 - Charlie Danielson (a) Scorecard | Wisconsin PGA,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/contestant/646/scorecard.htm
4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,6.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,Wisconsin State Open Qualifier #3 - Eric Schremp (a) Scorecard | Wisconsin PGA,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/contestant/552/scorecard.htm
6.0,3.0,4.0,4.0,3.0,5.0,4.0,5.0,3.0,5.0,4.0,3.0,4.0,4.0,5.0,4.0,1.0,4.0,Wisconsin State Open Qualifier #3 - Ryan Hofmeister (a) Scorecard | Wisconsin PGA,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/contestant/633/scorecard.htm
4.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,Wisconsin State Open Qualifier #3 - Richard Pfeil (a) Scorecard | Wisconsin PGA,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/contestant/558/scorecard.htm
4.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,5.0,4.0,4.0,Wisconsin State Open Qualifier #3 - Gregory Fehrman (a) Scorecard | Wisconsin PGA,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/contestant/543/scorecard.htm
