RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES,year,measure
1,1,Bubba Watson,14,323.7,"3,884",12,2005,avg_driv_dist
2,5,Cameron Champ,26,322.3,"16,758",52,2005,avg_driv_dist
3,3,Kurt Kitayama,6,322,"1,288",4,2005,avg_driv_dist
4,4,Grayson Murray,15,321.3,"9,640",30,2005,avg_driv_dist
5,9,Tom Lewis,6,317.2,"3,806",12,2005,avg_driv_dist
6,11,Ryan Brehm,30,316.9,"19,011",60,2005,avg_driv_dist
7,10,Akshay Bhatia,11,316.1,"6,955",22,2005,avg_driv_dist
8,2,Jason Kokrak,17,314.9,"5,668",18,2005,avg_driv_dist
9,8,Danny Lee,25,314.8,"10,704",34,2005,avg_driv_dist
10,7,Byeong Hun An,27,314.5,"9,434",30,2005,avg_driv_dist
11,12,Tyler McCumber,29,314.3,"18,230",58,2005,avg_driv_dist
12,6,Tony Finau,18,314.2,"6,284",20,2005,avg_driv_dist
13,15,Bryson DeChambeau,10,313.6,"6,272",20,2005,avg_driv_dist
14,13,Isaiah Salinda,11,313.1,"6,888",22,2005,avg_driv_dist
15,16,Scottie Scheffler,32,312.8,"20,021",64,2005,avg_driv_dist
16,18,Viktor Hovland,14,312.2,"3,746",12,2005,avg_driv_dist
17,19,Andrew Novak,6,311.9,"3,743",12,2005,avg_driv_dist
T18,20,Harold Varner III,27,311.5,"11,837",38,2005,avg_driv_dist
T18,14,Lucas Bjerregaard,9,311.5,"5,607",18,2005,avg_driv_dist
20,21,Sam Burns,16,310.7,"9,941",32,2005,avg_driv_dist
21,22,Branden Grace,10,310.6,"3,727",12,2005,avg_driv_dist
T22,T38,Brandon Hagy,19,310.5,"11,798",38,2005,avg_driv_dist
T22,T29,Cameron Davis,22,310.5,"13,661",44,2005,avg_driv_dist
T24,17,Zack Sucher,17,310.1,"10,543",34,2005,avg_driv_dist
T24,27,Jhonattan Vegas,18,310.1,"8,682",28,2005,avg_driv_dist
26,23,Patrick Rodgers,34,310,"21,079",68,2005,avg_driv_dist
27,25,Kevin Tway,20,309.4,"4,951",16,2005,avg_driv_dist
28,26,Rod Pampling,8,309.1,"4,946",16,2005,avg_driv_dist
29,24,Beau Hossler,27,308.7,"16,670",54,2005,avg_driv_dist
30,T34,Sebastian Cappelen,28,308.1,"17,252",56,2005,avg_driv_dist
31,36,Phil Mickelson,17,307.9,"5,542",18,2005,avg_driv_dist
32,T29,Wyndham Clark,19,307.5,"6,764",22,2005,avg_driv_dist
33,T31,Adam Schenk,30,307.1,"13,511",44,2005,avg_driv_dist
T34,T38,Chase Koepka,8,307,"2,456",8,2005,avg_driv_dist
T34,37,Scott Harrington,33,307,"20,260",66,2005,avg_driv_dist
T36,40,Graham DeLaet,14,306.5,"8,581",28,2005,avg_driv_dist
T36,T31,Harris English,26,306.5,"15,937",52,2005,avg_driv_dist
T38,T34,Dominic Bozzelli,23,306.2,"14,086",46,2005,avg_driv_dist
T38,T42,Peter Uihlein,20,306.2,"12,247",40,2005,avg_driv_dist
T40,44,Lanto Griffin,38,306.1,"23,266",76,2005,avg_driv_dist
T40,T93,Matthew Wolff,20,306.1,"7,346",24,2005,avg_driv_dist
42,33,Martin Laird,23,306,"14,075",46,2005,avg_driv_dist
43,41,Kevin Chappell,19,305.8,"11,621",38,2005,avg_driv_dist
44,46,Kristoffer Ventura,25,305.2,"15,259",50,2005,avg_driv_dist
45,28,Richy Werenski,13,305,"7,931",26,2005,avg_driv_dist
46,T47,Adam Scott,16,304.8,"4,876",16,2005,avg_driv_dist
T47,45,D.J. Trahan,26,304.7,"15,843",52,2005,avg_driv_dist
T47,T47,Scott Stallings,28,304.7,"17,061",56,2005,avg_driv_dist
49,T50,Matt Jones,26,304.5,"13,396",44,2005,avg_driv_dist
50,49,Sungjae Im,32,304.2,"12,168",40,2005,avg_driv_dist
51,T50,Aaron Wise,19,304.1,"11,557",38,2005,avg_driv_dist
52,57,Robert Garrigus,14,303.8,"8,505",28,2005,avg_driv_dist
T53,62,Sung Kang,24,303.5,"9,711",32,2005,avg_driv_dist
T53,T53,Sam Ryder,32,303.5,"19,427",64,2005,avg_driv_dist
55,56,Cameron Tringale,28,303.4,"16,990",56,2005,avg_driv_dist
56,T60,Daniel Berger,22,303.3,"10,920",36,2005,avg_driv_dist
T57,T53,Nelson Ledesma,25,303.2,"15,160",50,2005,avg_driv_dist
T57,63,Chandler Phillips,6,303.2,"3,638",12,2005,avg_driv_dist
59,T64,Chip McDaniel,6,303.1,"3,637",12,2005,avg_driv_dist
60,69,Sebastián Muñoz,34,303,"20,602",68,2005,avg_driv_dist
61,T50,Cameron Percy,25,302.8,"15,142",50,2005,avg_driv_dist
62,T58,Kevin Streelman,25,302.7,"10,292",34,2005,avg_driv_dist
63,T71,Brendan Steele,28,302.5,"16,939",56,2005,avg_driv_dist
T64,T71,Sangmoon Bae,14,302.3,"8,465",28,2005,avg_driv_dist
T64,T71,Will Gordon,12,302.3,"7,255",24,2005,avg_driv_dist
T64,T71,Smylie Kaufman,6,302.3,"3,627",12,2005,avg_driv_dist
T67,T58,Carlos Ortiz,30,302.2,"18,131",60,2005,avg_driv_dist
T67,66,Rafael Campos,29,302.2,"17,527",58,2005,avg_driv_dist
69,T64,Charles Howell III,33,302.1,"12,689",42,2005,avg_driv_dist
70,75,John Oda,8,302,"4,832",16,2005,avg_driv_dist
71,T76,Keegan Bradley,24,301.7,"9,655",32,2005,avg_driv_dist
72,78,Jonathan Byrd,14,301.6,"8,444",28,2005,avg_driv_dist
T73,T96,Nick Watney,22,301.4,"13,260",44,2005,avg_driv_dist
T73,T83,Michael Gligic,26,301.4,"15,672",52,2005,avg_driv_dist
T73,T60,Vince Covello,19,301.4,"11,455",38,2005,avg_driv_dist
T73,T79,Shawn Stefani,22,301.4,"13,260",44,2005,avg_driv_dist
T77,81,Cameron Smith,22,301.3,"8,436",28,2005,avg_driv_dist
T77,T76,Doc Redman,34,301.3,"20,485",68,2005,avg_driv_dist
79,82,Harry Higgs,33,301.2,"19,880",66,2005,avg_driv_dist
T80,T83,Derek Ernst,10,301,"6,020",20,2005,avg_driv_dist
T80,T83,Jason Day,10,301,"1,204",4,2005,avg_driv_dist
T80,89,Luke List,27,301,"13,844",46,2005,avg_driv_dist
T83,55,Josh Teater,16,300.9,"9,630",32,2005,avg_driv_dist
T83,T86,Seamus Power,14,300.9,"8,425",28,2005,avg_driv_dist
T83,T86,Davis Riley,8,300.9,"4,815",16,2005,avg_driv_dist
86,88,Patrick Cantlay,12,300.8,"7,220",24,2005,avg_driv_dist
87,67,Charley Hoffman,22,300.5,"10,819",36,2005,avg_driv_dist
88,70,Robby Shelton,31,300.4,"18,627",62,2005,avg_driv_dist
89,T91,Maverick McNealy,32,300.3,"19,219",64,2005,avg_driv_dist
T90,95,Marc Leishman,17,300.2,"5,403",18,2005,avg_driv_dist
T90,T91,Rhein Gibson,31,300.2,"18,614",62,2005,avg_driv_dist
T92,T96,Jimmy Walker,11,300,"6,599",22,2005,avg_driv_dist
T92,T112,Sepp Straka,26,300,"15,598",52,2005,avg_driv_dist
T94,T106,Martin Trainer,19,299.9,"11,397",38,2005,avg_driv_dist
T94,T79,Joseph Bramlett,23,299.9,"13,796",46,2005,avg_driv_dist
T94,T42,Ryan Moore,18,299.9,"5,998",20,2005,avg_driv_dist
T94,99,Gary Woodland,16,299.9,"4,798",16,2005,avg_driv_dist
