RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES,year,measure
1,1,Luke List,65,306.3,"37,365",122,2013,avg_driv_dist
2,2,Dustin Johnson,71,305.8,"42,809",140,2013,avg_driv_dist
3,3,Nicolas Colsaerts,50,305.7,"28,736",94,2013,avg_driv_dist
4,4,Gary Woodland,94,303.8,"54,376",179,2013,avg_driv_dist
5,5,Bubba Watson,76,303.7,"44,030",145,2013,avg_driv_dist
6,6,Jason Kokrak,78,303.2,"47,298",156,2013,avg_driv_dist
7,7,Robert Garrigus,69,302.4,"39,315",130,2013,avg_driv_dist
8,8,Rory McIlroy,56,302.2,"33,240",110,2013,avg_driv_dist
9,9,Eric Meierdierks,48,301.9,"27,773",92,2013,avg_driv_dist
10,10,Ryan Palmer,79,301.5,"47,329",157,2013,avg_driv_dist
11,11,Keegan Bradley,88,300.6,"52,302",174,2013,avg_driv_dist
12,12,Martin Flores,83,300.4,"49,874",166,2013,avg_driv_dist
13,13,Steven Bowditch,67,300.2,"39,029",130,2013,avg_driv_dist
14,14,Sean O'Hair,56,299.7,"33,561",112,2013,avg_driv_dist
15,15,Tag Ridings,69,299.6,"38,944",130,2013,avg_driv_dist
16,16,Jason Day,86,299.3,"47,589",159,2013,avg_driv_dist
17,17,Jim Herman,59,299.2,"32,913",110,2013,avg_driv_dist
18,18,Seung-Yul Noh,71,298.8,"40,045",134,2013,avg_driv_dist
19,19,Graham DeLaet,94,298.6,"55,832",187,2013,avg_driv_dist
20,20,Jimmy Walker,84,298.5,"50,147",168,2013,avg_driv_dist
21,21,Scott Piercy,78,298.2,"44,430",149,2013,avg_driv_dist
22,22,Kyle Stanley,71,298.1,"42,332",142,2013,avg_driv_dist
23,23,Adam Scott,61,297.8,"35,733",120,2013,avg_driv_dist
24,24,Robert Streb,75,297.7,"42,270",142,2013,avg_driv_dist
25,25,Shawn Stefani,63,297.2,"37,452",126,2013,avg_driv_dist
26,26,Brad Fritsch,81,297,"45,743",154,2013,avg_driv_dist
27,27,Justin Rose,62,296.6,"35,301",119,2013,avg_driv_dist
28,28,Bobby Gates,49,296.2,"26,654",90,2013,avg_driv_dist
29,29,Charl Schwartzel,69,296.1,"40,271",136,2013,avg_driv_dist
30,30,Scott Stallings,79,295.7,"46,720",158,2013,avg_driv_dist
31,31,John Rollins,77,295.6,"43,152",146,2013,avg_driv_dist
T32,T32,Charlie Beljan,62,295.4,"36,630",124,2013,avg_driv_dist
T32,T32,Morgan Hoffmann,64,295.4,"37,807",128,2013,avg_driv_dist
34,34,Peter Hanson,45,295.3,"25,099",85,2013,avg_driv_dist
35,35,Harris English,95,295.2,"56,092",190,2013,avg_driv_dist
36,36,Henrik Norlander,70,295,"40,114",136,2013,avg_driv_dist
37,37,Charles Howell III,87,294.8,"50,109",170,2013,avg_driv_dist
T38,T38,Steve LeBrun,66,294.1,"36,471",124,2013,avg_driv_dist
T38,T38,Troy Matteson,68,294.1,"38,818",132,2013,avg_driv_dist
T40,T40,Ángel Cabrera,73,294,"42,922",146,2013,avg_driv_dist
T40,T40,Charley Hoffman,84,294,"49,394",168,2013,avg_driv_dist
42,42,Billy Horschel,96,293.8,"56,406",192,2013,avg_driv_dist
T43,T43,Lucas Glover,65,293.7,"38,183",130,2013,avg_driv_dist
