RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES,year,measure,RANK THIS WEEK
1,1,Bubba Watson,14,323.7,3884,12,2004,avg_driv_dist,NA
2,5,Cameron Champ,26,322.3,16758,52,2004,avg_driv_dist,NA
3,3,Kurt Kitayama,6,322,1288,4,2004,avg_driv_dist,NA
4,4,Grayson Murray,15,321.3,9640,30,2004,avg_driv_dist,NA
5,9,Tom Lewis,6,317.2,3806,12,2004,avg_driv_dist,NA
6,11,Ryan Brehm,30,316.9,19011,60,2004,avg_driv_dist,NA
7,10,Akshay Bhatia,11,316.1,6955,22,2004,avg_driv_dist,NA
8,2,Jason Kokrak,17,314.9,5668,18,2004,avg_driv_dist,NA
9,8,Danny Lee,25,314.8,10704,34,2004,avg_driv_dist,NA
10,7,Byeong Hun An,27,314.5,9434,30,2004,avg_driv_dist,NA
11,12,Tyler McCumber,29,314.3,18230,58,2004,avg_driv_dist,NA
12,6,Tony Finau,18,314.2,6284,20,2004,avg_driv_dist,NA
13,15,Bryson DeChambeau,10,313.6,6272,20,2004,avg_driv_dist,NA
14,13,Isaiah Salinda,11,313.1,6888,22,2004,avg_driv_dist,NA
15,16,Scottie Scheffler,32,312.8,20021,64,2004,avg_driv_dist,NA
16,18,Viktor Hovland,14,312.2,3746,12,2004,avg_driv_dist,NA
17,19,Andrew Novak,6,311.9,3743,12,2004,avg_driv_dist,NA
T18,20,Harold Varner III,27,311.5,11837,38,2004,avg_driv_dist,NA
T18,14,Lucas Bjerregaard,9,311.5,5607,18,2004,avg_driv_dist,NA
20,21,Sam Burns,16,310.7,9941,32,2004,avg_driv_dist,NA
21,22,Branden Grace,10,310.6,3727,12,2004,avg_driv_dist,NA
T22,T38,Brandon Hagy,19,310.5,11798,38,2004,avg_driv_dist,NA
T22,T29,Cameron Davis,22,310.5,13661,44,2004,avg_driv_dist,NA
T24,17,Zack Sucher,17,310.1,10543,34,2004,avg_driv_dist,NA
T24,27,Jhonattan Vegas,18,310.1,8682,28,2004,avg_driv_dist,NA
26,23,Patrick Rodgers,34,310,21079,68,2004,avg_driv_dist,NA
27,25,Kevin Tway,20,309.4,4951,16,2004,avg_driv_dist,NA
28,26,Rod Pampling,8,309.1,4946,16,2004,avg_driv_dist,NA
29,24,Beau Hossler,27,308.7,16670,54,2004,avg_driv_dist,NA
30,T34,Sebastian Cappelen,28,308.1,17252,56,2004,avg_driv_dist,NA
31,36,Phil Mickelson,17,307.9,5542,18,2004,avg_driv_dist,NA
32,T29,Wyndham Clark,19,307.5,6764,22,2004,avg_driv_dist,NA
33,T31,Adam Schenk,30,307.1,13511,44,2004,avg_driv_dist,NA
T34,T38,Chase Koepka,8,307,2456,8,2004,avg_driv_dist,NA
