RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR,year,measure
1,1,Joe Durant,85,73.27,"1,121","1,530",-0.23,2004,gir_pct
2,2,Vijay Singh,112,73.03,"1,446","1,980",-0.31,2004,gir_pct
3,3,Tom Lehman,70,71.38,848,"1,188",-0.27,2004,gir_pct
4,4,Sergio Garcia,65,70.83,816,"1,152",-0.25,2004,gir_pct
5,5,Briny Baird,100,70.62,"1,233","1,746",-0.26,2004,gir_pct
6,6,John Senden,99,70.54,"1,219","1,728",-0.26,2004,gir_pct
7,7,Chris Smith,105,70.37,"1,330","1,890",-0.25,2004,gir_pct
8,8,Robert Allenby,93,70.33,"1,114","1,584",-0.24,2004,gir_pct
9,9,Duffy Waldorf,79,69.94,919,"1,314",-0.27,2004,gir_pct
10,10,Phil Mickelson,83,69.55,989,"1,422",-0.29,2004,gir_pct
11,11,Luke Donald,72,69.37,899,"1,296",-0.23,2004,gir_pct
12,12,Olin Browne,92,68.94,"1,092","1,584",-0.25,2004,gir_pct
13,13,Bart Bryant,73,68.92,856,"1,242",-0.25,2004,gir_pct
14,14,Mark Wilson,62,68.91,769,"1,116",-0.24,2004,gir_pct
15,15,Jeff Sluman,98,68.79,"1,201","1,746",-0.25,2004,gir_pct
16,16,John Huston,62,68.75,693,"1,008",-0.23,2004,gir_pct
17,17,Retief Goosen,56,68.69,680,990,-0.31,2004,gir_pct
18,18,Kenny Perry,79,68.64,939,"1,368",-0.27,2004,gir_pct
19,19,Scott Hoch,52,68.63,630,918,-0.24,2004,gir_pct
20,20,Scott Verplank,92,68.5,"1,122","1,638",-0.29,2004,gir_pct
21,21,David Toms,80,68.47,912,"1,332",-0.27,2004,gir_pct
22,22,Carlos Franco,99,68.46,"1,220","1,782",-0.25,2004,gir_pct
23,23,Vaughn Taylor,84,68.43,"1,010","1,476",-0.29,2004,gir_pct
24,24,Stephen Ames,97,68.42,"1,170","1,710",-0.29,2004,gir_pct
25,25,Woody Austin,94,68.14,"1,153","1,692",-0.27,2004,gir_pct
26,26,Danny Briggs,85,68.11,993,"1,458",-0.24,2004,gir_pct
27,27,Roland Thatcher,66,68.01,808,"1,188",-0.23,2004,gir_pct
28,28,Jerry Kelly,113,67.99,"1,334","1,962",-0.27,2004,gir_pct
29,29,Zach Johnson,109,67.86,"1,307","1,926",-0.27,2004,gir_pct
30,30,Lee Janzen,84,67.82,"1,001","1,476",-0.25,2004,gir_pct
31,31,Chad Campbell,100,67.74,"1,134","1,674",-0.24,2004,gir_pct
32,32,Bo Van Pelt,107,67.68,"1,267","1,872",-0.28,2004,gir_pct
33,33,Justin Rose,77,67.67,877,"1,296",-0.27,2004,gir_pct
T34,T34,Craig Barlow,80,67.66,950,"1,404",-0.27,2004,gir_pct
T34,T34,Kirk Triplett,88,67.66,"1,023","1,512",-0.28,2004,gir_pct
36,36,Joey Sindelar,100,67.63,"1,193","1,764",-0.24,2004,gir_pct
37,37,Jeff Maggert,60,67.5,729,"1,080",-0.25,2004,gir_pct
38,38,Lucas Glover,95,67.46,"1,105","1,638",-0.27,2004,gir_pct
39,39,Kent Jones,99,67.41,"1,177","1,746",-0.27,2004,gir_pct
40,40,Ted Purdy,114,67.36,"1,358","2,016",-0.28,2004,gir_pct
41,41,Heath Slocum,92,67.1,"1,087","1,620",-0.24,2004,gir_pct
42,42,John Riegger,53,67.09,640,954,-0.26,2004,gir_pct
43,43,Chris DiMarco,105,67.06,"1,183","1,764",-0.27,2004,gir_pct
44,44,Arron Oberholser,77,67.05,881,"1,314",-0.26,2004,gir_pct
45,45,Cameron Beckman,99,67.01,"1,158","1,728",-0.27,2004,gir_pct
46,46,Shaun Micheel,93,66.97,"1,097","1,638",-0.24,2004,gir_pct
47,47,Jay Haas,84,66.95,952,"1,422",-0.27,2004,gir_pct
48,48,Tiger Woods,78,66.9,867,"1,296",-0.34,2004,gir_pct
49,49,Geoff Ogilvy,91,66.86,"1,047","1,566",-0.32,2004,gir_pct
T50,T50,Jason Bohn,98,66.84,"1,143","1,710",-0.29,2004,gir_pct
T50,T50,Tom Pernice Jr.,103,66.84,"1,191","1,782",-0.26,2004,gir_pct
52,52,Steve Allan,102,66.78,"1,190","1,782",-0.26,2004,gir_pct
53,53,Russ Cochran,61,66.76,733,"1,098",-0.22,2004,gir_pct
T54,T54,Brian Bateman,84,66.6,959,"1,440",-0.28,2004,gir_pct
T54,T54,Loren Roberts,81,66.6,947,"1,422",-0.28,2004,gir_pct
56,56,J.J. Henry,103,66.56,"1,234","1,854",-0.25,2004,gir_pct
57,57,Jonathan Kaye,79,66.52,910,"1,368",-0.24,2004,gir_pct
T58,T58,John Cook,57,66.46,634,954,-0.23,2004,gir_pct
T58,T58,J.L. Lewis,106,66.46,"1,268","1,908",-0.27,2004,gir_pct
60,60,John Daly,79,66.39,944,"1,422",-0.32,2004,gir_pct
61,61,Stewart Cink,103,66.38,"1,159","1,746",-0.3,2004,gir_pct
62,62,Fred Couples,54,66.35,621,936,-0.26,2004,gir_pct
63,63,Pat Bates,99,66.27,"1,157","1,746",-0.22,2004,gir_pct
