RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR,year,measure,RANK THIS WEEK
1,1,Jim Furyk,12,81.94,177,216,-0.27,2004,gir_pct,NA
2,2,Patrick Cantlay,12,79.63,172,216,-0.33,2004,gir_pct,NA
3,4,Tyrrell Hatton,8,78.47,113,144,-0.3,2004,gir_pct,NA
4,3,Harris English,26,77.99,365,468,-0.3,2004,gir_pct,NA
T5,T5,John Merrick,10,77.78,140,180,-0.13,2004,gir_pct,NA
T5,T5,Emiliano Grillo,24,77.78,336,432,-0.25,2004,gir_pct,NA
T7,T7,Tommy Fleetwood,12,77.31,167,216,-0.23,2004,gir_pct,NA
T7,T7,Webb Simpson,12,77.31,167,216,-0.38,2004,gir_pct,NA
9,9,Xander Schauffele,12,76.85,166,216,-0.35,2004,gir_pct,NA
10,10,Hideki Matsuyama,22,76.77,304,396,-0.31,2004,gir_pct,NA
11,11,Justin Thomas,18,76.54,248,324,-0.34,2004,gir_pct,NA
12,T12,Gary Woodland,16,76.04,219,288,-0.31,2004,gir_pct,NA
13,14,Corey Conners,26,75.85,355,468,-0.28,2004,gir_pct,NA
14,16,Branden Grace,10,75.56,136,180,-0.17,2004,gir_pct,NA
15,T12,Aaron Wise,19,75.15,257,342,-0.26,2004,gir_pct,NA
T16,T19,Bryson DeChambeau,10,75,135,180,-0.33,2004,gir_pct,NA
T16,T19,Davis Riley,8,75,108,144,-0.24,2004,gir_pct,NA
T16,T19,John Oda,8,75,108,144,-0.27,2004,gir_pct,NA
T16,T19,K.J. Choi,8,75,108,144,-0.18,2004,gir_pct,NA
T16,T19,Boo Weekley,14,75,189,252,-0.24,2004,gir_pct,NA
T16,T19,Louis Oosthuizen,8,75,108,144,-0.33,2004,gir_pct,NA
22,T19,Russell Knox,30,74.63,403,540,-0.29,2004,gir_pct,NA
23,T19,Chesson Hadley,24,74.54,322,432,-0.28,2004,gir_pct,NA
24,30,Scottie Scheffler,32,74.48,429,576,-0.35,2004,gir_pct,NA
25,T19,Kyle Stanley,23,74.4,308,414,-0.23,2004,gir_pct,NA
26,15,Nick Taylor,27,74.28,361,486,-0.29,2004,gir_pct,NA
27,31,Adam Hadwin,20,74.17,267,360,-0.3,2004,gir_pct,NA
28,T17,Denny McCarthy,32,74.13,427,576,-0.33,2004,gir_pct,NA
29,32,C.T. Pan,16,73.96,213,288,-0.19,2004,gir_pct,NA
30,40,Charles Howell III,33,73.91,439,594,-0.28,2004,gir_pct,NA
T31,33,Joaquin Niemann,28,73.81,372,504,-0.28,2004,gir_pct,NA
T31,T36,Matthew NeSmith,28,73.81,372,504,-0.28,2004,gir_pct,NA
33,28,Stewart Cink,15,73.7,199,270,-0.31,2004,gir_pct,NA
34,T36,Chase Koepka,8,73.61,106,144,-0.25,2004,gir_pct,NA
T35,T34,Nick Watney,22,73.48,291,396,-0.31,2004,gir_pct,NA
T35,41,Pat Perez,22,73.48,291,396,-0.3,2004,gir_pct,NA
37,42,Ryan Palmer,20,73.33,264,360,-0.33,2004,gir_pct,NA
38,T17,Henrik Norlander,32,73.26,422,576,-0.29,2004,gir_pct,NA
T39,T43,Davis Love III,6,73.15,79,108,-0.13,2004,gir_pct,NA
T39,39,Bo Hoag,36,73.15,474,648,-0.26,2004,gir_pct,NA
41,48,Sung Kang,24,72.92,315,432,-0.26,2004,gir_pct,NA
42,T36,Ben Taylor,27,72.84,354,486,-0.24,2004,gir_pct,NA
43,T34,Billy Horschel,21,72.75,275,378,-0.29,2004,gir_pct,NA
44,T43,Doc Redman,34,72.71,445,612,-0.29,2004,gir_pct,NA
45,T52,Russell Henley,25,72.67,327,450,-0.24,2004,gir_pct,NA
46,T52,Rory Sabbatini,26,72.65,340,468,-0.26,2004,gir_pct,NA
47,45,Troy Merritt,24,72.45,313,432,-0.27,2004,gir_pct,NA
48,T46,D.J. Trahan,26,72.44,339,468,-0.28,2004,gir_pct,NA
T49,T56,Zach Johnson,23,72.22,299,414,-0.27,2004,gir_pct,NA
T49,T100,Paul Casey,16,72.22,208,288,-0.32,2004,gir_pct,NA
T49,T68,Jason Kokrak,17,72.22,221,306,-0.24,2004,gir_pct,NA
T49,T56,Rory McIlroy,8,72.22,104,144,-0.4,2004,gir_pct,NA
T49,T92,Tony Finau,18,72.22,234,324,-0.32,2004,gir_pct,NA
T49,T56,Josh Teater,16,72.22,208,288,-0.28,2004,gir_pct,NA
T49,T56,Shane Lowry,8,72.22,104,144,-0.27,2004,gir_pct,NA
