RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,%,OFFICIAL MONEY WON,POTENTIAL MONEY,year,measure
1,1,Tiger Woods,6,78.25,"$5,775,000","$7,380,000",2008,pct_total_money_won
2,2,Vijay Singh,23,23.67,"$6,601,094","$27,888,875",2008,pct_total_money_won
3,3,Padraig Harrington,15,22.54,"$4,313,550","$19,138,875",2008,pct_total_money_won
4,4,Sergio Garcia,19,20.27,"$4,858,223","$23,962,875",2008,pct_total_money_won
5,5,Phil Mickelson,21,20,"$5,188,874","$25,942,875",2008,pct_total_money_won
6,6,Anthony Kim,22,18.02,"$4,656,265","$25,834,875",2008,pct_total_money_won
7,7,Camilo Villegas,22,16.78,"$4,422,640","$26,356,875",2008,pct_total_money_won
8,8,Kenny Perry,26,16.33,"$4,663,793","$28,566,000",2008,pct_total_money_won
9,9,Henrik Stenson,9,15.62,"$1,937,992","$12,408,875",2008,pct_total_money_won
10,10,Stewart Cink,23,14.48,"$3,979,300","$27,472,875",2008,pct_total_money_won
11,11,Justin Leonard,25,13.37,"$3,943,542","$29,490,875",2008,pct_total_money_won
12,12,Ernie Els,16,12.46,"$2,537,289","$20,362,875",2008,pct_total_money_won
13,13,Greg Norman,4,12.14,"$509,617","$4,198,875",2008,pct_total_money_won
14,14,Geoff Ogilvy,20,11.73,"$2,880,099","$24,556,875",2008,pct_total_money_won
15,15,Lee Westwood,10,11.51,"$1,550,880","$13,468,875",2008,pct_total_money_won
16,16,Jim Furyk,26,11.19,"$3,455,713","$30,894,875",2008,pct_total_money_won
17,17,Robert Allenby,28,11.12,"$3,606,699","$32,422,875",2008,pct_total_money_won
18,18,Luke Donald,11,10.68,"$1,456,650","$13,644,000",2008,pct_total_money_won
19,19,Ryuji Imada,25,10.61,"$3,029,363","$28,552,875",2008,pct_total_money_won
20,20,K.J. Choi,21,10.4,"$2,683,442","$25,800,875",2008,pct_total_money_won
21,21,Ben Curtis,22,10.3,"$2,615,798","$25,402,875",2008,pct_total_money_won
22,22,Adam Scott,15,10.14,"$1,979,159","$19,516,875",2008,pct_total_money_won
23,23,Mike Weir,26,9.97,"$3,020,135","$30,282,875",2008,pct_total_money_won
24,24,Trevor Immelman,22,9.73,"$2,566,198","$26,374,875",2008,pct_total_money_won
25,25,Dudley Hart,22,9.3,"$2,218,816","$23,868,000",2008,pct_total_money_won
T26,T26,Robert Karlsson,8,9.2,"$985,684","$10,714,875",2008,pct_total_money_won
T26,T26,Kevin Sutherland,26,9.2,"$2,581,310","$28,062,000",2008,pct_total_money_won
28,28,Steve Stricker,22,9.03,"$2,438,304","$27,006,875",2008,pct_total_money_won
T29,T29,Stuart Appleby,23,8.89,"$2,484,630","$27,958,875",2008,pct_total_money_won
T29,T29,Rob Grube,1,8.89,"$48,000","$540,000",2008,pct_total_money_won
31,31,Ryan Blaum,1,8.61,"$54,250","$630,000",2008,pct_total_money_won
32,32,Boo Weekley,24,8.51,"$2,398,750","$28,194,875",2008,pct_total_money_won
33,33,Stephen Ames,24,8.26,"$2,285,707","$27,672,875",2008,pct_total_money_won
34,34,Andres Romero,20,8.25,"$2,064,611","$25,024,875",2008,pct_total_money_won
35,35,Darren Clarke,2,8.15,"$220,000","$2,700,000",2008,pct_total_money_won
36,36,Carl Pettersson,29,7.99,"$2,512,538","$31,428,000",2008,pct_total_money_won
37,37,Chad Campbell,28,7.86,"$2,404,770","$30,584,000",2008,pct_total_money_won
38,38,Ian Poulter,15,7.69,"$1,488,214","$19,354,875",2008,pct_total_money_won
39,39,D.J. Trahan,27,7.55,"$2,304,368","$30,528,000",2008,pct_total_money_won
40,40,Sean O'Hair,25,7.45,"$2,089,856","$28,048,875",2008,pct_total_money_won
41,41,Ryan Palmer,22,7.23,"$1,453,182","$20,088,000",2008,pct_total_money_won
42,42,J.B. Holmes,26,7.21,"$2,166,130","$30,046,875",2008,pct_total_money_won
43,43,Alastair Forsyth,2,7.2,"$194,416","$2,700,000",2008,pct_total_money_won
44,44,Brian Gay,31,7.12,"$2,205,512","$30,978,000",2008,pct_total_money_won
45,45,Hunter Mahan,27,6.89,"$2,208,854","$32,046,875",2008,pct_total_money_won
46,46,Davis Love III,23,6.86,"$1,695,237","$24,700,875",2008,pct_total_money_won
47,47,Bart Bryant,23,6.74,"$1,719,153","$25,492,875",2008,pct_total_money_won
48,48,Mathew Goggin,27,6.7,"$1,969,962","$29,394,000",2008,pct_total_money_won
49,49,Bradley Dredge,1,6.67,"$90,000","$1,350,000",2008,pct_total_money_won
50,50,Briny Baird,30,6.58,"$2,039,807","$30,996,000",2008,pct_total_money_won
T51,T51,Ken Duke,33,6.53,"$2,238,884","$34,290,000",2008,pct_total_money_won
T51,T51,Jeff Quinney,28,6.53,"$1,999,371","$30,622,875",2008,pct_total_money_won
53,53,Retief Goosen,18,6.5,"$1,431,965","$22,018,875",2008,pct_total_money_won
54,54,Miguel Angel Jiménez,8,6.42,"$725,946","$11,308,875",2008,pct_total_money_won
55,55,Woody Austin,30,6.41,"$2,146,430","$33,504,875",2008,pct_total_money_won
56,56,Aaron Baddeley,22,6.37,"$1,665,587","$26,160,875",2008,pct_total_money_won
57,57,Steve Marino,32,6.32,"$2,094,266","$33,156,000",2008,pct_total_money_won
58,58,Paul Goydos,25,6.03,"$1,640,737","$27,222,875",2008,pct_total_money_won
59,59,Greg Kraft,21,5.95,"$1,204,559","$20,232,000",2008,pct_total_money_won
T60,T60,Pat Perez,27,5.89,"$1,756,038","$29,812,875",2008,pct_total_money_won
T60,T60,Graeme Storm,3,5.89,"$231,600","$3,928,875",2008,pct_total_money_won
62,62,Dustin Johnson,30,5.88,"$1,789,894","$30,438,000",2008,pct_total_money_won
63,63,Rory Sabbatini,23,5.82,"$1,559,277","$26,772,875",2008,pct_total_money_won
64,64,David Howell,3,5.81,"$226,243","$3,892,875",2008,pct_total_money_won
65,65,Zach Johnson,25,5.77,"$1,615,123","$27,978,875",2008,pct_total_money_won
66,66,Paul Casey,16,5.76,"$1,156,414","$20,092,875",2008,pct_total_money_won
67,67,Freddie Jacobson,24,5.75,"$1,597,423","$27,778,875",2008,pct_total_money_won
68,68,Tommy Armour III,25,5.72,"$1,501,255","$26,226,000",2008,pct_total_money_won
69,69,Ben Crane,25,5.71,"$1,488,504","$26,046,000",2008,pct_total_money_won
70,70,Grégory Havret,2,5.69,"$162,184","$2,848,875",2008,pct_total_money_won
71,71,Billy Mayfair,29,5.65,"$1,750,682","$30,960,000",2008,pct_total_money_won
72,72,Steve Lowery,25,5.64,"$1,524,275","$27,036,000",2008,pct_total_money_won
73,73,Justin Rose,15,5.61,"$1,047,853","$18,670,875",2008,pct_total_money_won
74,74,Tim Clark,27,5.51,"$1,722,029","$31,270,875",2008,pct_total_money_won
75,75,Rod Pampling,28,5.43,"$1,702,952","$31,360,875",2008,pct_total_money_won
76,76,Daniel Chopra,27,5.4,"$1,630,689","$30,206,000",2008,pct_total_money_won
77,77,Mark Wilson,29,5.39,"$1,578,337","$29,306,000",2008,pct_total_money_won
78,78,Jeev Milkha Singh,5,5.34,"$319,349","$5,976,000",2008,pct_total_money_won
79,79,Charlie Wi,27,5.31,"$1,515,394","$28,512,000",2008,pct_total_money_won
80,80,Jason Bohn,15,5.3,"$866,785","$16,362,000",2008,pct_total_money_won
81,81,Nicholas Thompson,36,5.23,"$1,869,329","$35,766,000",2008,pct_total_money_won
82,82,Matt Kuchar,27,5.15,"$1,447,637","$28,102,875",2008,pct_total_money_won
T83,T83,Alex Noren,1,5.04,"$75,484","$1,498,875",2008,pct_total_money_won
T83,T83,Jean Van de Velde,1,5.04,"$75,484","$1,498,875",2008,pct_total_money_won
T83,T83,Simon Wakefield,1,5.04,"$75,484","$1,498,875",2008,pct_total_money_won
T83,T83,Paul Waring,1,5.04,"$75,484","$1,498,875",2008,pct_total_money_won
87,87,Brandt Snedeker,26,5.01,"$1,531,441","$30,552,875",2008,pct_total_money_won
88,88,Jerry Kelly,31,5,"$1,652,400","$33,070,875",2008,pct_total_money_won
89,89,Johnson Wagner,26,4.98,"$1,431,001","$28,746,000",2008,pct_total_money_won
90,90,Steve Elkington,25,4.96,"$1,291,113","$26,028,000",2008,pct_total_money_won
T91,T91,Parker McLachlin,27,4.95,"$1,311,839","$26,478,000",2008,pct_total_money_won
T91,T91,Esteban Toledo,3,4.95,"$111,305","$2,250,000",2008,pct_total_money_won
T91,T91,Marc Turnesa,29,4.95,"$1,329,920","$26,856,000",2008,pct_total_money_won
94,94,Bubba Watson,29,4.92,"$1,533,522","$31,158,000",2008,pct_total_money_won
95,95,Cameron Beckman,29,4.88,"$1,312,837","$26,928,000",2008,pct_total_money_won
T96,T96,Graeme McDowell,4,4.86,"$269,544","$5,548,875",2008,pct_total_money_won
T96,T96,Scott Verplank,24,4.86,"$1,359,620","$27,978,875",2008,pct_total_money_won
98,98,Ryan Moore,24,4.85,"$1,214,899","$25,056,000",2008,pct_total_money_won
99,99,Bernhard Langer,2,4.81,"$147,250","$3,060,000",2008,pct_total_money_won
100,100,Fred Couples,18,4.8,"$949,281","$19,764,000",2008,pct_total_money_won
101,101,Peter Lonard,30,4.74,"$1,462,893","$30,888,000",2008,pct_total_money_won
T102,T102,Rocco Mediate,27,4.73,"$1,420,875","$30,064,875",2008,pct_total_money_won
T102,T102,Chez Reavie,30,4.73,"$1,444,102","$30,528,000",2008,pct_total_money_won
