RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,%,OFFICIAL MONEY WON,POTENTIAL MONEY,year,measure
1,1,Brooks Koepka,21,29.19,"9,684,006","33,174,000",2019,pct_total_money_won
2,2,Rory McIlroy,19,25.34,"7,785,286","30,726,000",2019,pct_total_money_won
3,3,Patrick Cantlay,21,18.94,"6,121,488","32,324,000",2019,pct_total_money_won
4,4,Matt Kuchar,22,18.72,"6,294,690","33,634,000",2019,pct_total_money_won
5,5,Dustin Johnson,19,18.52,"5,534,619","29,880,000",2019,pct_total_money_won
6,6,Xander Schauffele,21,16.95,"5,609,456","33,102,000",2019,pct_total_money_won
7,7,Justin Thomas,20,16.37,"5,013,084","30,628,000",2019,pct_total_money_won
T8,T8,Jon Rahm,20,16.18,"4,990,110","30,834,000",2019,pct_total_money_won
T8,T8,Robert MacIntyre,1,16.18,"313,000","1,935,000",2019,pct_total_money_won
10,10,Justin Rose,17,15.93,"4,358,849","27,357,000",2019,pct_total_money_won
11,11,Gary Woodland,24,15.64,"5,690,965","36,388,000",2019,pct_total_money_won
12,12,Tiger Woods,12,14.85,"3,199,615","21,553,000",2019,pct_total_money_won
13,13,Webb Simpson,21,14.84,"4,690,572","31,618,000",2019,pct_total_money_won
14,14,Adam Scott,18,14.45,"4,084,541","28,276,000",2019,pct_total_money_won
15,15,Shane Lowry,14,14.4,"3,490,098","24,235,000",2019,pct_total_money_won
16,16,Collin Morikawa,9,14.36,"1,754,890","12,222,000",2019,pct_total_money_won
17,17,Francesco Molinari,15,13.44,"3,467,143","25,795,000",2019,pct_total_money_won
18,18,Tommy Fleetwood,18,13.32,"3,853,651","28,940,000",2019,pct_total_money_won
19,19,Matthew Wolff,8,13.06,"1,390,433","10,646,000",2019,pct_total_money_won
20,20,Rickie Fowler,20,12.91,"3,945,810","30,572,000",2019,pct_total_money_won
21,21,Paul Casey,22,12.68,"4,257,040","33,561,000",2019,pct_total_money_won
22,22,Doc Redman,6,12.51,"1,003,290","8,019,000",2019,pct_total_money_won
23,23,Marc Leishman,21,11.81,"3,886,577","32,896,000",2019,pct_total_money_won
24,24,Tony Finau,25,11.42,"4,344,380","38,048,000",2019,pct_total_money_won
25,25,Paul Dunne,1,10.56,"57,000","540,000",2019,pct_total_money_won
26,26,Bryson DeChambeau,21,9.84,"3,186,232","32,374,000",2019,pct_total_money_won
27,27,Ryan Palmer,21,9.69,"2,873,316","29,655,000",2019,pct_total_money_won
28,28,Patrick Reed,25,9.53,"3,593,844","37,728,000",2019,pct_total_money_won
29,29,Kevin Kisner,25,9.35,"3,489,144","37,320,000",2019,pct_total_money_won
30,30,Chez Reavie,28,9.04,"3,660,909","40,514,000",2019,pct_total_money_won
31,31,Hideki Matsuyama,24,8.96,"3,335,137","37,202,000",2019,pct_total_money_won
32,32,Matthew Fitzpatrick,14,8.63,"2,124,146","24,620,000",2019,pct_total_money_won
33,33,Lee Westwood,4,8.57,"634,500","7,405,000",2019,pct_total_money_won
34,34,Louis Oosthuizen,19,8.34,"2,539,183","30,444,000",2019,pct_total_money_won
35,35,Jim Furyk,21,8.27,"2,669,938","32,299,000",2019,pct_total_money_won
36,36,Corey Conners,28,7.88,"2,919,864","37,070,000",2019,pct_total_money_won
T37,T37,Brandt Snedeker,27,7.81,"3,122,936","39,997,000",2019,pct_total_money_won
T37,T37,Charles Howell III,27,7.81,"3,039,049","38,936,000",2019,pct_total_money_won
39,39,Scott Piercy,24,7.78,"2,679,915","34,438,000",2019,pct_total_money_won
40,40,Jason Day,21,7.68,"2,637,480","34,327,000",2019,pct_total_money_won
41,41,Phil Mickelson,20,7.53,"2,440,221","32,388,000",2019,pct_total_money_won
42,42,Matt Every,16,7.42,"1,413,149","19,035,000",2019,pct_total_money_won
43,43,Lucas Glover,26,7.37,"2,613,965","35,487,000",2019,pct_total_money_won
44,44,Kevin Na,19,7.34,"2,257,309","30,758,000",2019,pct_total_money_won
45,45,Nate Lashley,21,7.28,"2,030,287","27,890,000",2019,pct_total_money_won
46,46,Matt Wallace,12,7.2,"1,549,150","21,524,000",2019,pct_total_money_won
47,47,Sung Kang,27,7.15,"2,801,650","39,194,000",2019,pct_total_money_won
48,48,Ian Poulter,18,7.11,"2,162,306","30,420,000",2019,pct_total_money_won
49,49,Sergio Garcia,15,7.1,"1,793,027","25,251,000",2019,pct_total_money_won
50,50,Jason Kokrak,24,6.97,"2,330,212","33,435,000",2019,pct_total_money_won
T51,T51,Andrew Putnam,23,6.86,"2,439,137","35,551,000",2019,pct_total_money_won
T51,T51,Abraham Ancer,27,6.86,"2,688,625","39,193,000",2019,pct_total_money_won
53,53,Rory Sabbatini,26,6.71,"2,382,298","35,505,000",2019,pct_total_money_won
54,54,Zack Sucher,10,6.59,"753,782","11,430,000",2019,pct_total_money_won
55,55,Eddie Pepperell,9,6.45,"1,054,811","16,350,000",2019,pct_total_money_won
56,56,J.T. Poston,29,6.39,"2,461,215","38,520,000",2019,pct_total_money_won
57,57,Max Homa,25,6.32,"2,063,606","32,669,000",2019,pct_total_money_won
58,58,C.T. Pan,25,6.29,"2,362,399","37,564,000",2019,pct_total_money_won
T59,T59,Kevin Tway,26,6.2,"2,300,050","37,101,000",2019,pct_total_money_won
T59,T59,Sungjae Im,35,6.2,"2,851,134","45,963,000",2019,pct_total_money_won
61,61,Rafa Cabrera Bello,19,6.04,"1,926,935","31,901,000",2019,pct_total_money_won
62,62,Kevin Chappell,3,6.02,"257,024","4,266,000",2019,pct_total_money_won
63,63,Martin Flores,1,6,"32,400","540,000",2019,pct_total_money_won
64,64,Keith Mitchell,26,5.99,"2,405,360","40,183,000",2019,pct_total_money_won
65,65,Graeme McDowell,20,5.97,"1,671,523","28,017,000",2019,pct_total_money_won
66,66,Jordan Spieth,23,5.88,"2,124,192","36,114,000",2019,pct_total_money_won
T67,T67,Adam Hadwin,24,5.84,"2,039,012","34,937,000",2019,pct_total_money_won
T67,T67,Ryan Moore,22,5.84,"1,838,788","31,464,000",2019,pct_total_money_won
69,69,Aaron Rai,2,5.83,"203,625","3,490,000",2019,pct_total_money_won
70,70,Erik van Rooyen,6,5.81,"638,002","10,978,000",2019,pct_total_money_won
71,71,Byeong Hun An,22,5.73,"1,990,033","34,737,000",2019,pct_total_money_won
72,72,Armando Favela,2,5.61,"108,000","1,926,000",2019,pct_total_money_won
73,73,Lucas Bjerregaard,14,5.54,"1,324,194","23,900,000",2019,pct_total_money_won
74,74,Troy Merritt,21,5.53,"1,531,143","27,670,000",2019,pct_total_money_won
75,75,J.B. Holmes,25,5.46,"2,147,065","39,319,000",2019,pct_total_money_won
76,76,Henrik Stenson,15,5.43,"1,397,370","25,728,000",2019,pct_total_money_won
77,77,Billy Horschel,26,5.33,"2,187,249","41,022,000",2019,pct_total_money_won
78,78,Si Woo Kim,28,5.23,"2,191,808","41,930,000",2019,pct_total_money_won
79,79,Tyrrell Hatton,17,5.2,"1,517,396","29,201,000",2019,pct_total_money_won
80,80,Jhonattan Vegas,23,5.16,"1,566,910","30,375,000",2019,pct_total_money_won
81,81,Bubba Watson,19,5.09,"1,558,014","30,583,000",2019,pct_total_money_won
