RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:APP,MEASURED ROUNDS,year,measure
1,1,Adam Scott,70,1.164,60.547,52,2010,sg_app_green
2,2,Vijay Singh,75,0.979,55.791,57,2010,sg_app_green
3,3,Steve Stricker,73,0.773,43.269,56,2010,sg_app_green
4,4,Camilo Villegas,78,0.755,42.27,56,2010,sg_app_green
5,5,Phil Mickelson,76,0.738,42.069,57,2010,sg_app_green
6,6,Ernie Els,72,0.735,40.405,55,2010,sg_app_green
7,7,Brendon de Jonge,114,0.721,65.622,91,2010,sg_app_green
8,8,Ricky Barnes,103,0.675,56.015,83,2010,sg_app_green
9,9,Luke Donald,71,0.661,35.023,53,2010,sg_app_green
10,10,Robert Allenby,76,0.642,39.152,61,2010,sg_app_green
11,11,Jim Furyk,76,0.641,38.47,60,2010,sg_app_green
12,12,Chad Campbell,94,0.606,49.08,81,2010,sg_app_green
13,13,Tim Clark,88,0.591,40.181,68,2010,sg_app_green
14,14,Cameron Percy,73,0.589,34.741,59,2010,sg_app_green
15,15,Rocco Mediate,71,0.568,34.632,61,2010,sg_app_green
16,16,Heath Slocum,97,0.546,39.877,73,2010,sg_app_green
17,17,Padraig Harrington,57,0.524,23.077,44,2010,sg_app_green
18,18,Nick Watney,91,0.517,35.706,69,2010,sg_app_green
19,19,Bill Haas,87,0.515,38.651,75,2010,sg_app_green
20,20,K.J. Choi,82,0.507,30.948,61,2010,sg_app_green
21,21,Geoff Ogilvy,62,0.488,24.41,50,2010,sg_app_green
22,22,Paul Casey,64,0.483,21.26,44,2010,sg_app_green
23,23,Mike Weir,59,0.466,18.651,40,2010,sg_app_green
24,24,Alex Cejka,81,0.464,31.584,68,2010,sg_app_green
25,25,Scott Verplank,74,0.456,25.523,56,2010,sg_app_green
26,26,John Senden,103,0.455,39.573,87,2010,sg_app_green
27,27,D.J. Trahan,92,0.45,36.911,82,2010,sg_app_green
28,28,Brett Quigley,96,0.425,37.379,88,2010,sg_app_green
29,29,Billy Mayfair,78,0.424,27.542,65,2010,sg_app_green
T30,T30,Kris Blanks,91,0.417,30.883,74,2010,sg_app_green
T30,T30,Marc Leishman,87,0.417,30.009,72,2010,sg_app_green
32,32,Spencer Levin,110,0.413,40.481,98,2010,sg_app_green
33,33,Cliff Kresge,50,0.41,18.472,45,2010,sg_app_green
34,34,Rickie Fowler,98,0.395,32.798,83,2010,sg_app_green
35,35,Ben Crane,85,0.379,25.012,66,2010,sg_app_green
36,36,Paul Stankowski,62,0.377,19.967,53,2010,sg_app_green
37,37,Davis Love III,79,0.364,24.037,66,2010,sg_app_green
38,38,Mark Calcavecchia,50,0.363,11.966,33,2010,sg_app_green
T39,T39,Matt Kuchar,97,0.336,25.185,75,2010,sg_app_green
T39,T39,Jimmy Walker,82,0.336,23.54,70,2010,sg_app_green
41,41,Briny Baird,87,0.334,26.41,79,2010,sg_app_green
T42,T42,Kevin Na,94,0.333,25.274,76,2010,sg_app_green
T42,T42,Vaughn Taylor,87,0.333,26.329,79,2010,sg_app_green
44,44,Charles Warren,64,0.327,17.979,55,2010,sg_app_green
45,45,Jason Bohn,84,0.324,23.981,74,2010,sg_app_green
46,46,Johnson Wagner,85,0.323,23.927,74,2010,sg_app_green
47,47,Charley Hoffman,85,0.317,24.37,77,2010,sg_app_green
48,48,Stewart Cink,84,0.309,20.068,65,2010,sg_app_green
49,49,Freddie Jacobson,83,0.302,23.276,77,2010,sg_app_green
50,50,Justin Leonard,89,0.299,21.51,72,2010,sg_app_green
51,51,Joe Durant,67,0.296,16.846,57,2010,sg_app_green
52,52,Aron Price,70,0.291,18.033,62,2010,sg_app_green
53,53,Dustin Johnson,83,0.288,18.12,63,2010,sg_app_green
54,54,Charlie Wi,95,0.28,24.891,89,2010,sg_app_green
55,55,Rory McIlroy,54,0.271,10.836,40,2010,sg_app_green
56,56,Garrett Willis,82,0.261,18.557,71,2010,sg_app_green
57,57,Bo Van Pelt,104,0.26,22.641,87,2010,sg_app_green
58,58,Jerry Kelly,99,0.246,20.185,82,2010,sg_app_green
59,59,Paul Goydos,78,0.244,16.121,66,2010,sg_app_green
60,60,Bryce Molder,84,0.235,17.137,73,2010,sg_app_green
61,61,Rich Barcelo,70,0.228,13.242,58,2010,sg_app_green
62,62,Tom Pernice Jr.,74,0.225,13.07,58,2010,sg_app_green
63,63,Zach Johnson,93,0.221,16.591,75,2010,sg_app_green
64,64,Michael Bradley,77,0.219,14.877,68,2010,sg_app_green
65,65,Jeff Quinney,91,0.207,16.594,80,2010,sg_app_green
66,66,David Duval,71,0.202,11.296,56,2010,sg_app_green
