RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:APP,MEASURED ROUNDS,year,measure
1,1,Sergio Garcia,65,1.211,60.568,50,2004,sg_app_green
2,2,Vijay Singh,112,1.116,99.362,89,2004,sg_app_green
3,3,Scott Verplank,92,0.971,66.045,68,2004,sg_app_green
4,4,David Toms,80,0.968,57.089,59,2004,sg_app_green
5,5,Justin Rose,77,0.882,55.557,63,2004,sg_app_green
6,6,Tiger Woods,78,0.873,47.152,54,2004,sg_app_green
7,7,Jay Haas,84,0.862,52.561,61,2004,sg_app_green
8,8,Jeff Sluman,98,0.76,62.321,82,2004,sg_app_green
9,9,Stewart Cink,103,0.724,57.22,79,2004,sg_app_green
10,10,Scott Hoch,52,0.721,33.144,46,2004,sg_app_green
11,11,Stephen Ames,97,0.712,56.928,80,2004,sg_app_green
12,12,Ernie Els,62,0.709,29.069,41,2004,sg_app_green
13,13,John Huston,62,0.701,31.528,45,2004,sg_app_green
14,14,Lee Janzen,84,0.692,48.41,70,2004,sg_app_green
15,15,Tim Clark,84,0.691,49.042,71,2004,sg_app_green
16,16,Joey Sindelar,100,0.679,60.427,89,2004,sg_app_green
17,17,Robert Allenby,93,0.675,48.592,72,2004,sg_app_green
18,18,Chad Campbell,100,0.66,50.849,77,2004,sg_app_green
T19,T19,Jerry Kelly,113,0.616,54.224,88,2004,sg_app_green
T19,T19,Bernhard Langer,59,0.616,25.89,42,2004,sg_app_green
21,21,Retief Goosen,56,0.604,24.166,40,2004,sg_app_green
22,22,Phil Mickelson,83,0.597,32.217,54,2004,sg_app_green
23,23,Tom Lehman,70,0.596,34.586,58,2004,sg_app_green
24,24,Adam Scott,55,0.571,22.835,40,2004,sg_app_green
25,25,Duffy Waldorf,79,0.568,33.518,59,2004,sg_app_green
26,26,Luke Donald,72,0.563,34.896,62,2004,sg_app_green
27,27,Dudley Hart,60,0.557,25.625,46,2004,sg_app_green
28,28,Kenny Perry,79,0.512,31.732,62,2004,sg_app_green
29,29,Chris DiMarco,105,0.508,39.145,77,2004,sg_app_green
30,30,Shigeki Maruyama,93,0.493,38.424,78,2004,sg_app_green
31,31,Bart Bryant,73,0.484,31.442,65,2004,sg_app_green
32,32,Bob Estes,73,0.48,24.495,51,2004,sg_app_green
33,33,José María Olazábal,56,0.474,19.91,42,2004,sg_app_green
34,34,Fred Funk,97,0.456,37.817,83,2004,sg_app_green
35,35,Joe Durant,85,0.453,34.457,76,2004,sg_app_green
36,36,Vaughn Taylor,84,0.426,32.836,77,2004,sg_app_green
37,37,Carlos Franco,99,0.413,37.196,90,2004,sg_app_green
38,38,Justin Leonard,90,0.379,24.616,65,2004,sg_app_green
39,39,Robert Gamez,103,0.378,34.022,90,2004,sg_app_green
40,40,Briny Baird,100,0.374,30.262,81,2004,sg_app_green
41,41,Fred Couples,54,0.37,16.282,44,2004,sg_app_green
42,42,Cameron Beckman,99,0.364,31.634,87,2004,sg_app_green
43,43,Robert Damron,92,0.356,29.906,84,2004,sg_app_green
44,44,Mike Weir,75,0.351,19.309,55,2004,sg_app_green
45,45,Woody Austin,94,0.35,29.066,83,2004,sg_app_green
46,46,Steve Lowery,91,0.339,25.072,74,2004,sg_app_green
47,47,K.J. Choi,83,0.338,21.308,63,2004,sg_app_green
T48,T48,Ted Purdy,114,0.322,33.129,103,2004,sg_app_green
T48,T48,Rory Sabbatini,89,0.322,23.838,74,2004,sg_app_green
50,50,Jeff Maggert,60,0.303,15.16,50,2004,sg_app_green
51,51,Danny Briggs,85,0.298,22.36,75,2004,sg_app_green
52,52,Peter Lonard,68,0.294,15.899,54,2004,sg_app_green
53,53,Kirk Triplett,88,0.292,19.267,66,2004,sg_app_green
54,54,Billy Andrade,104,0.291,26.808,92,2004,sg_app_green
55,55,J.L. Lewis,106,0.285,25.356,89,2004,sg_app_green
56,56,Loren Roberts,81,0.277,18.819,68,2004,sg_app_green
57,57,Ben Curtis,56,0.274,11.251,41,2004,sg_app_green
58,58,Bob Tway,90,0.269,17.732,66,2004,sg_app_green
59,59,Heath Slocum,92,0.257,21.33,83,2004,sg_app_green
