RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:ARG,MEASURED ROUNDS,year,measure
1,1,Kevin Na,84,0.593,40.294,68,2011,sg_around_green
2,2,Chris Riley,76,0.59,40.088,68,2011,sg_around_green
3,3,Bio Kim,71,0.515,29.886,58,2011,sg_around_green
4,4,Aaron Baddeley,77,0.438,27.152,62,2011,sg_around_green
5,5,Brian Gay,90,0.425,31.429,74,2011,sg_around_green
6,6,Alex Cejka,59,0.413,19.401,47,2011,sg_around_green
7,9,Nick O'Hern,89,0.378,28.734,76,2011,sg_around_green
8,10,Steve Stricker,70,0.364,19.306,53,2011,sg_around_green
9,8,Charles Howell III,108,0.358,32.618,91,2011,sg_around_green
10,7,Rod Pampling,72,0.353,21.183,60,2011,sg_around_green
11,11,Bryce Molder,82,0.346,24.569,71,2011,sg_around_green
12,19,Justin Leonard,82,0.338,25.023,74,2011,sg_around_green
13,12,Ryuji Imada,83,0.337,25.602,76,2011,sg_around_green
14,13,Phil Mickelson,79,0.333,19.319,58,2011,sg_around_green
15,T14,K.J. Choi,77,0.296,17.18,58,2011,sg_around_green
16,18,Billy Mayfair,94,0.292,24.813,85,2011,sg_around_green
17,20,James Driscoll,71,0.285,17.38,61,2011,sg_around_green
T18,T22,Luke Donald,73,0.273,14.215,52,2011,sg_around_green
T18,T41,Derek Lamely,65,0.273,15.86,58,2011,sg_around_green
T20,16,Tim Petrovic,88,0.267,20.59,77,2011,sg_around_green
T20,T14,Shane Bertsch,62,0.267,13.865,52,2011,sg_around_green
22,25,Sergio Garcia,61,0.263,11.823,45,2011,sg_around_green
23,T22,Matt Jones,71,0.262,16.79,64,2011,sg_around_green
24,21,Webb Simpson,98,0.261,21.695,83,2011,sg_around_green
25,27,Mark Wilson,89,0.255,17.82,70,2011,sg_around_green
26,28,Hunter Mahan,92,0.254,19.321,76,2011,sg_around_green
T27,17,Greg Chalmers,88,0.253,19.971,79,2011,sg_around_green
T27,26,Steve Flesch,88,0.253,19.706,78,2011,sg_around_green
29,33,Trevor Immelman,84,0.25,16.747,67,2011,sg_around_green
30,31,Rory Sabbatini,85,0.248,15.103,61,2011,sg_around_green
31,29,Shaun Micheel,77,0.245,15.944,65,2011,sg_around_green
32,24,Justin Rose,79,0.243,15.332,63,2011,sg_around_green
33,34,Charlie Wi,83,0.239,18.368,77,2011,sg_around_green
34,32,Michael Bradley,74,0.234,13.803,59,2011,sg_around_green
35,37,Tim Herron,85,0.221,16.985,77,2011,sg_around_green
36,35,Jerry Kelly,85,0.211,14.345,68,2011,sg_around_green
37,36,Marc Leishman,87,0.207,16.526,80,2011,sg_around_green
38,38,Spencer Levin,113,0.202,18.945,94,2011,sg_around_green
