RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:ARG,MEASURED ROUNDS,year,measure
1,1,Luke Donald,60,0.628,28.891,46,2013,sg_around_green
2,2,Steve Stricker,51,0.596,20.865,35,2013,sg_around_green
3,3,Justin Rose,62,0.491,22.605,46,2013,sg_around_green
4,4,Mike Weir,60,0.399,18.757,47,2013,sg_around_green
5,5,Bryce Molder,82,0.395,28.047,71,2013,sg_around_green
6,6,Jonas Blixt,76,0.394,26.41,67,2013,sg_around_green
7,7,Rod Pampling,46,0.389,13.614,35,2013,sg_around_green
8,8,Stuart Appleby,88,0.387,30.604,79,2013,sg_around_green
9,9,Lee Williams,62,0.38,19.382,51,2013,sg_around_green
10,10,Charles Howell III,87,0.374,29.936,80,2013,sg_around_green
11,11,Justin Leonard,86,0.363,27.197,75,2013,sg_around_green
12,12,Bob Estes,66,0.362,22.461,62,2013,sg_around_green
13,13,Brandt Snedeker,79,0.354,20.51,58,2013,sg_around_green
14,14,Roberto Castro,97,0.348,29.225,84,2013,sg_around_green
15,15,Brian Gay,79,0.336,23.827,71,2013,sg_around_green
16,16,Chris Stroud,88,0.333,26.005,78,2013,sg_around_green
T17,T17,Jim Furyk,80,0.323,20.691,64,2013,sg_around_green
T17,T17,David Lynn,70,0.323,18.083,56,2013,sg_around_green
19,19,Padraig Harrington,52,0.321,11.236,35,2013,sg_around_green
20,20,Steven Bowditch,67,0.316,18.355,58,2013,sg_around_green
21,21,Seung-Yul Noh,71,0.315,19.554,62,2013,sg_around_green
22,22,Charlie Wi,75,0.295,19.468,66,2013,sg_around_green
23,23,Aaron Baddeley,68,0.293,17.284,59,2013,sg_around_green
24,24,Ian Poulter,59,0.29,11.316,39,2013,sg_around_green
25,25,Bill Haas,85,0.289,19.908,69,2013,sg_around_green
26,26,Aaron Watkins,46,0.285,9.964,35,2013,sg_around_green
27,27,Matt Kuchar,93,0.278,19.205,69,2013,sg_around_green
28,28,Casey Wittenberg,72,0.263,16.053,61,2013,sg_around_green
29,29,Phil Mickelson,78,0.26,14.843,57,2013,sg_around_green
30,30,Sergio Garcia,65,0.259,12.17,47,2013,sg_around_green
31,31,K.J. Choi,85,0.258,16.223,63,2013,sg_around_green
T32,T32,Freddie Jacobson,63,0.247,11.347,46,2013,sg_around_green
T32,T32,Tiger Woods,61,0.247,10.609,43,2013,sg_around_green
34,34,Morgan Hoffmann,64,0.242,12.805,53,2013,sg_around_green
35,35,Webb Simpson,92,0.225,15.771,70,2013,sg_around_green
36,36,Matt Jones,83,0.22,15.411,70,2013,sg_around_green
37,37,Scott Langley,79,0.215,13.761,64,2013,sg_around_green
38,38,Ben Curtis,59,0.208,9.566,46,2013,sg_around_green
39,39,Jordan Spieth,82,0.2,13.378,67,2013,sg_around_green
40,40,Tim Herron,45,0.197,8.658,44,2013,sg_around_green
41,41,John Huh,88,0.19,14.283,75,2013,sg_around_green
T42,T42,Keegan Bradley,88,0.185,13.323,72,2013,sg_around_green
T42,T42,Brian Davis,91,0.185,15.341,83,2013,sg_around_green
44,44,Troy Matteson,68,0.175,10.343,59,2013,sg_around_green
T45,T45,Andres Romero,63,0.17,8.836,52,2013,sg_around_green
T45,T45,Lee Westwood,70,0.17,8.654,51,2013,sg_around_green
47,47,Jason Day,86,0.167,10.173,61,2013,sg_around_green
48,48,William McGirt,75,0.165,11.736,71,2013,sg_around_green
49,49,Jimmy Walker,84,0.164,12.308,75,2013,sg_around_green
50,50,D.A. Points,87,0.163,11.085,68,2013,sg_around_green
51,51,Cameron Tringale,80,0.149,11.162,75,2013,sg_around_green
52,52,Bud Cauley,67,0.148,8.282,56,2013,sg_around_green
T53,T53,Ernie Els,63,0.143,6.871,48,2013,sg_around_green
T53,T53,Robert Karlsson,56,0.143,5.305,37,2013,sg_around_green
T55,T55,James Driscoll,76,0.139,8.767,63,2013,sg_around_green
T55,T55,Ryan Moore,72,0.139,7.911,57,2013,sg_around_green
57,57,Peter Hanson,45,0.138,4.57,33,2013,sg_around_green
58,58,John Senden,79,0.13,7.938,61,2013,sg_around_green
59,59,Henrik Stenson,65,0.128,5.616,44,2013,sg_around_green
T60,T60,Tom Gillis,69,0.126,7.581,60,2013,sg_around_green
T60,T60,Carl Pettersson,82,0.126,8.032,64,2013,sg_around_green
62,62,Jerry Kelly,75,0.125,8.031,64,2013,sg_around_green
63,63,Alistair Presnell,59,0.123,5.672,46,2013,sg_around_green
64,64,Martin Flores,83,0.118,8.992,76,2013,sg_around_green
65,65,Geoff Ogilvy,57,0.117,4.923,42,2013,sg_around_green
66,66,Brendan Steele,86,0.105,8.081,77,2013,sg_around_green
67,67,Chris Kirk,89,0.099,8.041,81,2013,sg_around_green
68,68,Brian Harman,89,0.096,7.329,76,2013,sg_around_green
69,69,David Toms,49,0.095,3.024,32,2013,sg_around_green
70,70,Trevor Immelman,73,0.094,5.806,62,2013,sg_around_green
71,71,Kevin Chappell,80,0.077,5.148,67,2013,sg_around_green
72,72,Rickie Fowler,75,0.074,4.364,59,2013,sg_around_green
73,73,Mark Wilson,56,0.072,3.615,50,2013,sg_around_green
T74,T74,Daniel Summerhays,83,0.067,5.198,78,2013,sg_around_green
T74,T74,Michael Thompson,66,0.067,3.562,53,2013,sg_around_green
76,76,Charl Schwartzel,69,0.061,3.297,54,2013,sg_around_green
T77,T77,Luke Guthrie,82,0.055,3.55,65,2013,sg_around_green
T77,T77,Adam Scott,61,0.055,2.412,44,2013,sg_around_green
79,79,John Merrick,79,0.051,3.445,68,2013,sg_around_green
80,80,Hunter Mahan,91,0.05,3.425,68,2013,sg_around_green
81,81,Zach Johnson,84,0.047,3.124,67,2013,sg_around_green
82,82,Greg Owen,73,0.036,2.346,66,2013,sg_around_green
T83,T83,Brendon de Jonge,110,0.032,3.121,97,2013,sg_around_green
T83,T83,Rory McIlroy,56,0.032,1.327,41,2013,sg_around_green
85,85,Jason Kokrak,78,0.029,2.114,72,2013,sg_around_green
86,86,Jin Park,52,0.016,0.674,43,2013,sg_around_green
87,87,Patrick Reed,83,0.011,0.792,74,2013,sg_around_green
88,88,Ben Crane,62,0.005,0.276,55,2013,sg_around_green
T89,T89,Tag Ridings,69,0.003,0.182,58,2013,sg_around_green
T89,T89,Darron Stiles,51,0.003,0.145,42,2013,sg_around_green
T89,T89,Robert Streb,75,0.003,0.21,62,2013,sg_around_green
T92,T92,Dicky Pride,71,0.002,0.145,59,2013,sg_around_green
T92,T92,Rory Sabbatini,86,0.002,0.125,72,2013,sg_around_green
94,94,Scott Piercy,78,-0.006,-0.365,62,2013,sg_around_green
95,95,Kevin Streelman,86,-0.008,-0.56,68,2013,sg_around_green
96,96,Marc Leishman,77,-0.009,-0.604,64,2013,sg_around_green
97,97,Scott Brown,65,-0.014,-0.749,55,2013,sg_around_green
98,98,D.H. Lee,65,-0.015,-0.882,58,2013,sg_around_green
99,99,D.J. Trahan,48,-0.018,-0.695,38,2013,sg_around_green
100,100,Vijay Singh,61,-0.021,-1.007,48,2013,sg_around_green
101,101,David Lingmerth,68,-0.022,-1.278,57,2013,sg_around_green
102,102,Fabián Gómez,65,-0.026,-1.454,56,2013,sg_around_green
103,103,George McNeill,68,-0.03,-1.915,64,2013,sg_around_green
104,104,Chad Campbell,78,-0.033,-2.406,72,2013,sg_around_green
105,105,James Hahn,78,-0.034,-2.279,67,2013,sg_around_green
106,106,Richard Lee,81,-0.043,-3.107,72,2013,sg_around_green
107,107,Tim Clark,64,-0.049,-2.1,43,2013,sg_around_green
108,108,"Ted Potter, Jr.",65,-0.052,-2.873,55,2013,sg_around_green
109,109,Pat Perez,69,-0.055,-3.519,64,2013,sg_around_green
T110,T110,Stewart Cink,71,-0.058,-3.247,56,2013,sg_around_green
T110,T110,Martin Laird,68,-0.058,-3.1,53,2013,sg_around_green
112,112,Ángel Cabrera,73,-0.059,-3.358,57,2013,sg_around_green
113,113,Graeme McDowell,53,-0.061,-2.238,37,2013,sg_around_green
114,114,Bubba Watson,76,-0.065,-3.81,59,2013,sg_around_green
115,115,Michael Bradley,56,-0.068,-2.93,43,2013,sg_around_green
116,116,Billy Horschel,96,-0.069,-5.689,83,2013,sg_around_green
117,117,Erik Compton,74,-0.076,-4.953,65,2013,sg_around_green
118,118,Harris English,95,-0.077,-6.298,82,2013,sg_around_green
119,119,Lucas Glover,65,-0.083,-4.3,52,2013,sg_around_green
120,120,Robert Allenby,58,-0.085,-4.445,52,2013,sg_around_green
121,121,J.J. Henry,83,-0.089,-6.603,74,2013,sg_around_green
122,122,Dustin Johnson,71,-0.09,-4.566,51,2013,sg_around_green
123,123,Cameron Percy,68,-0.092,-5.22,57,2013,sg_around_green
T124,T124,Jason Bohn,70,-0.095,-6.294,66,2013,sg_around_green
T124,T124,Camilo Villegas,79,-0.095,-6.089,64,2013,sg_around_green
126,126,Luke List,65,-0.097,-5.03,52,2013,sg_around_green
127,127,Bo Van Pelt,72,-0.1,-5.405,54,2013,sg_around_green
128,128,Greg Chalmers,77,-0.102,-7.142,70,2013,sg_around_green
T129,T129,Jason Dufner,78,-0.103,-6.276,61,2013,sg_around_green
T129,T129,John Rollins,77,-0.103,-6.974,68,2013,sg_around_green
131,131,David Mathis,71,-0.105,-6.535,62,2013,sg_around_green
132,132,Kevin Stadler,83,-0.11,-7.62,69,2013,sg_around_green
133,133,David Hearn,88,-0.119,-8.698,73,2013,sg_around_green
134,134,Brian Stuard,78,-0.125,-7.879,63,2013,sg_around_green
135,135,Josh Teater,86,-0.133,-8.094,61,2013,sg_around_green
136,136,Y.E. Yang,56,-0.137,-5.615,41,2013,sg_around_green
137,137,Charley Hoffman,84,-0.145,-10.578,73,2013,sg_around_green
138,138,Stephen Ames,49,-0.147,-6.488,44,2013,sg_around_green
139,139,Brad Fritsch,81,-0.152,-10.307,68,2013,sg_around_green
T140,T140,Henrik Norlander,70,-0.155,-9.146,59,2013,sg_around_green
T140,T140,Shawn Stefani,63,-0.155,-7.742,50,2013,sg_around_green
142,142,Graham DeLaet,94,-0.159,-12.88,81,2013,sg_around_green
143,143,Ryo Ishikawa,72,-0.165,-9.062,55,2013,sg_around_green
144,144,Jeff Maggert,63,-0.166,-9.477,57,2013,sg_around_green
145,145,Jim Herman,59,-0.176,-7.759,44,2013,sg_around_green
146,146,Ken Duke,87,-0.178,-13.386,75,2013,sg_around_green
147,147,Chez Reavie,72,-0.184,-12.31,67,2013,sg_around_green
148,148,Steve LeBrun,66,-0.185,-9.811,53,2013,sg_around_green
149,149,Scott Gardiner,61,-0.19,-9.9,52,2013,sg_around_green
150,150,Brandt Jobe,62,-0.191,-10.1,53,2013,sg_around_green
151,151,Sean O'Hair,56,-0.198,-10.106,51,2013,sg_around_green
T152,T152,Justin Bolli,59,-0.21,-9.644,46,2013,sg_around_green
T152,T152,Doug LaBelle II,72,-0.21,-12.367,59,2013,sg_around_green
154,154,Will Claxton,67,-0.215,-12.012,56,2013,sg_around_green
155,155,Boo Weekley,100,-0.221,-18.324,83,2013,sg_around_green
156,156,Ricky Barnes,74,-0.227,-14.745,65,2013,sg_around_green
157,157,Russell Henley,80,-0.233,-15.408,66,2013,sg_around_green
158,158,Matt Every,89,-0.234,-18.696,80,2013,sg_around_green
159,159,Colt Knost,69,-0.242,-14.033,58,2013,sg_around_green
160,160,Vaughn Taylor,50,-0.247,-9.887,40,2013,sg_around_green
161,161,Nicholas Thompson,99,-0.288,-24.746,86,2013,sg_around_green
162,162,Charlie Beljan,62,-0.306,-16.854,55,2013,sg_around_green
163,163,Andrew Svoboda,46,-0.308,-10.768,35,2013,sg_around_green
164,164,Nick Watney,88,-0.317,-23.138,73,2013,sg_around_green
165,165,Ryan Palmer,79,-0.323,-22.279,69,2013,sg_around_green
166,166,Bobby Gates,49,-0.331,-12.56,38,2013,sg_around_green
167,167,Martin Kaymer,61,-0.335,-14.052,42,2013,sg_around_green
168,168,Ben Kohles,75,-0.354,-21.921,62,2013,sg_around_green
169,169,Sangmoon Bae,83,-0.376,-27.05,72,2013,sg_around_green
170,170,Jeff Overton,78,-0.384,-28.398,74,2013,sg_around_green
T171,T171,Scott Stallings,79,-0.392,-25.839,66,2013,sg_around_green
T171,T171,Gary Woodland,94,-0.392,-32.529,83,2013,sg_around_green
173,173,Tommy Gainey,84,-0.411,-30.803,75,2013,sg_around_green
174,174,Johnson Wagner,64,-0.436,-22.672,52,2013,sg_around_green
175,175,Eric Meierdierks,48,-0.501,-18.539,37,2013,sg_around_green
176,176,Derek Ernst,58,-0.526,-25.791,49,2013,sg_around_green
177,177,Robert Garrigus,69,-0.528,-25.848,49,2013,sg_around_green
178,178,Nicolas Colsaerts,50,-0.563,-20.271,36,2013,sg_around_green
179,179,Justin Hicks,79,-0.6,-39.626,66,2013,sg_around_green
180,180,Kyle Stanley,71,-0.708,-42.496,60,2013,sg_around_green
