RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:OTT,MEASURED ROUNDS,year,measure
1,1,Vijay Singh,112,0.87,77.441,89,2004,sg_off_tee
2,2,Kenny Perry,79,0.73,45.277,62,2004,sg_off_tee
3,3,Joe Durant,85,0.692,52.602,76,2004,sg_off_tee
4,4,Darren Clarke,54,0.626,21.905,35,2004,sg_off_tee
5,5,Ernie Els,62,0.622,25.486,41,2004,sg_off_tee
6,6,Sergio Garcia,65,0.606,30.295,50,2004,sg_off_tee
7,7,Phil Mickelson,83,0.597,32.249,54,2004,sg_off_tee
8,8,J.J. Henry,103,0.574,52.236,91,2004,sg_off_tee
9,9,Zach Johnson,109,0.567,50.421,89,2004,sg_off_tee
10,10,Lucas Glover,95,0.564,47.407,84,2004,sg_off_tee
11,11,Robert Allenby,93,0.541,38.919,72,2004,sg_off_tee
12,12,Stuart Appleby,84,0.538,31.724,59,2004,sg_off_tee
13,13,Chris Smith,105,0.526,48.937,93,2004,sg_off_tee
14,14,Bo Van Pelt,107,0.512,41.966,82,2004,sg_off_tee
15,15,Davis Love III,85,0.491,29.937,61,2004,sg_off_tee
16,16,John Daly,79,0.477,31.941,67,2004,sg_off_tee
17,17,Roland Thatcher,66,0.448,27.311,61,2004,sg_off_tee
18,18,Charles Howell III,104,0.428,32.551,76,2004,sg_off_tee
19,19,Dennis Paulson,71,0.404,26.642,66,2004,sg_off_tee
20,20,Tom Lehman,70,0.392,22.748,58,2004,sg_off_tee
21,21,Craig Barlow,80,0.383,26.422,69,2004,sg_off_tee
22,22,Woody Austin,94,0.381,31.663,83,2004,sg_off_tee
23,23,Retief Goosen,56,0.379,15.156,40,2004,sg_off_tee
24,24,Scott Hend,81,0.375,26.22,70,2004,sg_off_tee
T25,T25,Jason Bohn,98,0.369,32.472,88,2004,sg_off_tee
T25,T25,Ted Purdy,114,0.369,37.969,103,2004,sg_off_tee
27,27,Peter Lonard,68,0.365,19.683,54,2004,sg_off_tee
28,28,John Senden,99,0.356,30.617,86,2004,sg_off_tee
29,29,Pat Perez,102,0.329,28.252,86,2004,sg_off_tee
30,30,Frank Lickliter II,89,0.328,25.592,78,2004,sg_off_tee
T31,T31,Rory Sabbatini,89,0.321,23.785,74,2004,sg_off_tee
T31,T31,Tiger Woods,78,0.321,17.355,54,2004,sg_off_tee
33,33,Rich Beem,81,0.32,19.549,61,2004,sg_off_tee
34,34,Scott Verplank,92,0.319,21.708,68,2004,sg_off_tee
35,35,Geoff Ogilvy,91,0.305,23.17,76,2004,sg_off_tee
36,36,Ryan Palmer,103,0.293,26.4,90,2004,sg_off_tee
37,37,Jeff Brehaut,106,0.292,27.467,94,2004,sg_off_tee
38,38,Justin Rose,77,0.283,17.853,63,2004,sg_off_tee
39,39,Joey Sindelar,100,0.281,25.042,89,2004,sg_off_tee
40,40,Jonathan Kaye,79,0.278,17.218,62,2004,sg_off_tee
41,41,Harrison Frazar,86,0.273,19.405,71,2004,sg_off_tee
42,42,Jesper Parnevik,86,0.27,20.005,74,2004,sg_off_tee
43,43,Steve Allan,102,0.246,21.68,88,2004,sg_off_tee
44,44,Arron Oberholser,77,0.243,15.058,62,2004,sg_off_tee
45,45,Billy Mayfair,109,0.242,22.467,93,2004,sg_off_tee
46,46,Kevin Sutherland,86,0.241,16.154,67,2004,sg_off_tee
47,47,Scott Hoch,52,0.237,10.895,46,2004,sg_off_tee
T48,T48,Brian Bateman,84,0.234,17.069,73,2004,sg_off_tee
T48,T48,Fred Couples,54,0.234,10.292,44,2004,sg_off_tee
50,50,Mark Hensby,97,0.232,19.048,82,2004,sg_off_tee
51,51,Bart Bryant,73,0.226,14.707,65,2004,sg_off_tee
52,52,Tim Herron,84,0.225,14.826,66,2004,sg_off_tee
53,53,Chris Couch,55,0.224,10.321,46,2004,sg_off_tee
54,54,Stephen Ames,97,0.218,17.41,80,2004,sg_off_tee
55,55,Briny Baird,100,0.216,17.458,81,2004,sg_off_tee
