RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL PUTTS GAINED,MEASURED ROUNDS,year,measure
1,1,Luke Donald,71,0.87,46.132,53,2010,sg_putting
2,2,Carl Pettersson,99,0.818,67.878,83,2010,sg_putting
3,3,Paul Casey,64,0.812,35.719,44,2010,sg_putting
4,4,Dean Wilson,54,0.781,36.71,47,2010,sg_putting
5,5,Greg Chalmers,93,0.772,67.195,87,2010,sg_putting
6,6,Brian Gay,101,0.73,59.84,82,2010,sg_putting
7,7,Retief Goosen,75,0.679,35.975,53,2010,sg_putting
8,8,Matt Kuchar,97,0.648,48.62,75,2010,sg_putting
9,9,Chad Collins,87,0.626,46.932,75,2010,sg_putting
10,10,Zach Johnson,93,0.583,43.71,75,2010,sg_putting
11,11,Charlie Wi,95,0.574,51.046,89,2010,sg_putting
12,12,Ryuji Imada,90,0.551,46.287,84,2010,sg_putting
13,13,Michael Sim,64,0.518,27.431,53,2010,sg_putting
14,14,Troy Merritt,86,0.512,39.441,77,2010,sg_putting
T15,T15,Aaron Baddeley,94,0.509,44.835,88,2010,sg_putting
T15,T15,Matt Jones,89,0.509,40.741,80,2010,sg_putting
17,17,Scott McCarron,90,0.507,42.12,83,2010,sg_putting
18,18,Kevin Na,94,0.493,37.434,76,2010,sg_putting
19,19,Bryce Molder,84,0.476,34.751,73,2010,sg_putting
20,20,Brandt Snedeker,89,0.464,34.775,75,2010,sg_putting
21,21,Charles Howell III,103,0.452,40.636,90,2010,sg_putting
22,22,Steve Stricker,73,0.437,24.471,56,2010,sg_putting
23,23,Ryan Palmer,84,0.433,30.714,71,2010,sg_putting
24,24,Brad Faxon,58,0.426,20.448,48,2010,sg_putting
25,25,Jeff Overton,89,0.409,29.067,71,2010,sg_putting
26,26,Jim Furyk,76,0.402,24.105,60,2010,sg_putting
27,27,Jeff Quinney,91,0.388,31.049,80,2010,sg_putting
28,28,Pat Perez,90,0.379,31.476,83,2010,sg_putting
29,29,Stephen Ames,75,0.375,25.886,69,2010,sg_putting
T30,T30,Geoff Ogilvy,62,0.37,18.519,50,2010,sg_putting
T30,T30,Webb Simpson,98,0.37,34.035,92,2010,sg_putting
32,32,Matt Bettencourt,91,0.368,25.757,70,2010,sg_putting
33,33,Daniel Chopra,74,0.361,24.172,67,2010,sg_putting
34,34,Tom Gillis,97,0.359,32.351,90,2010,sg_putting
35,35,Nathan Green,86,0.339,27.489,81,2010,sg_putting
36,36,Michael Connell,89,0.337,25.943,77,2010,sg_putting
37,37,Skip Kendall,58,0.333,16.339,49,2010,sg_putting
38,38,Paul Stankowski,62,0.332,17.592,53,2010,sg_putting
39,39,Ernie Els,72,0.33,18.134,55,2010,sg_putting
40,40,Steve Elkington,74,0.328,19.381,59,2010,sg_putting
41,41,George McNeill,79,0.319,22.315,70,2010,sg_putting
42,42,James Driscoll,78,0.315,23.321,74,2010,sg_putting
43,43,Chris Couch,66,0.302,17.831,59,2010,sg_putting
44,44,Ryan Moore,80,0.299,18.258,61,2010,sg_putting
45,45,Brian Stuard,81,0.289,20.497,71,2010,sg_putting
46,46,David Toms,86,0.274,19.18,70,2010,sg_putting
47,47,Tim Clark,88,0.269,18.273,68,2010,sg_putting
48,48,Padraig Harrington,57,0.267,11.761,44,2010,sg_putting
49,49,Ben Crane,85,0.266,17.545,66,2010,sg_putting
50,50,Steve Marino,81,0.261,16.464,63,2010,sg_putting
51,51,Andres Romero,73,0.254,18.311,72,2010,sg_putting
52,52,Jimmy Walker,82,0.252,17.665,70,2010,sg_putting
53,53,Justin Rose,78,0.243,17.032,70,2010,sg_putting
54,54,Freddie Jacobson,83,0.241,18.556,77,2010,sg_putting
55,55,Matt Every,60,0.24,12.237,51,2010,sg_putting
56,56,Shaun Micheel,70,0.235,12.474,53,2010,sg_putting
T57,T57,Brent Delahoussaye,57,0.231,10.866,47,2010,sg_putting
T57,T57,Chris Tidland,77,0.231,15.674,68,2010,sg_putting
59,59,Ben Curtis,78,0.229,15.128,66,2010,sg_putting
60,60,J.J. Henry,92,0.217,17.179,79,2010,sg_putting
61,61,Scott Piercy,88,0.215,17.391,81,2010,sg_putting
62,62,Ian Poulter,55,0.213,7.227,34,2010,sg_putting
