RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS,year,measure,TOTAL PUTTS GAINED
1,1,Tiger Woods,78,0.853,46.067,54,2004,sg_putting,NA
2,2,Adam Scott,55,0.824,32.95,40,2004,sg_putting,NA
3,3,Stewart Cink,103,0.683,53.928,79,2004,sg_putting,NA
4,4,Greg Chalmers,70,0.651,42.29,65,2004,sg_putting,NA
5,5,Shigeki Maruyama,93,0.63,49.165,78,2004,sg_putting,NA
6,6,Loren Roberts,81,0.629,42.762,68,2004,sg_putting,NA
7,7,Aaron Baddeley,87,0.579,43.993,76,2004,sg_putting,NA
8,8,Zach Johnson,109,0.577,51.383,89,2004,sg_putting,NA
9,9,Brad Faxon,94,0.535,37.441,70,2004,sg_putting,NA
10,10,Freddie Jacobson,83,0.531,33.427,63,2004,sg_putting,NA
11,11,Jesper Parnevik,86,0.522,38.607,74,2004,sg_putting,NA
12,12,Steve Stricker,81,0.521,35.96,69,2004,sg_putting,NA
13,13,Brent Geiberger,94,0.512,43.034,84,2004,sg_putting,NA
14,14,José María Olazábal,56,0.483,20.291,42,2004,sg_putting,NA
15,15,Darren Clarke,54,0.467,16.343,35,2004,sg_putting,NA
16,16,Richard Johnson,102,0.461,42.898,93,2004,sg_putting,NA
17,17,Bob Tway,90,0.443,29.269,66,2004,sg_putting,NA
18,18,Patrick Sheehan,113,0.439,43.914,100,2004,sg_putting,NA
19,19,Stephen Ames,97,0.438,35.078,80,2004,sg_putting,NA
20,20,Len Mattiace,75,0.411,28.786,70,2004,sg_putting,NA
21,21,Matt Gogel,86,0.404,28.263,70,2004,sg_putting,NA
22,22,Mark O'Meara,58,0.369,15.112,41,2004,sg_putting,NA
23,23,Brian Bateman,84,0.364,26.553,73,2004,sg_putting,NA
24,24,Brian Gay,96,0.361,31.792,88,2004,sg_putting,NA
25,25,Ben Crane,92,0.357,28.892,81,2004,sg_putting,NA
26,26,Tommy Tolles,67,0.351,21.385,61,2004,sg_putting,NA
27,27,Bo Van Pelt,107,0.346,28.331,82,2004,sg_putting,NA
28,28,Tag Ridings,53,0.329,14.785,45,2004,sg_putting,NA
29,29,David Peoples,82,0.328,24.635,75,2004,sg_putting,NA
30,30,Brenden Pappas,111,0.322,31.836,99,2004,sg_putting,NA
31,31,Mark Hensby,97,0.32,26.251,82,2004,sg_putting,NA
32,32,Tom Byrum,83,0.318,22.869,72,2004,sg_putting,NA
33,33,Tim Petrovic,111,0.315,27.402,87,2004,sg_putting,NA
34,34,Corey Pavin,83,0.31,20.752,67,2004,sg_putting,NA
35,35,Dan Forsman,79,0.293,19.321,66,2004,sg_putting,NA
36,36,David Frost,78,0.292,21.863,75,2004,sg_putting,NA
37,37,Hunter Mahan,94,0.28,23.279,83,2004,sg_putting,NA
