RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS,year,measure
1,1,Tiger Woods,55,2.982,0.803,2.072,0.107,37,2006,sg_tee_to_green
2,2,Adam Scott,70,2.23,0.955,1.115,0.16,51,2006,sg_tee_to_green
3,3,Jim Furyk,89,1.805,0.475,1.085,0.245,68,2006,sg_tee_to_green
4,4,Phil Mickelson,74,1.688,0.569,0.983,0.136,47,2006,sg_tee_to_green
5,5,Vijay Singh,103,1.67,0.447,0.809,0.414,84,2006,sg_tee_to_green
6,6,Trevor Immelman,86,1.646,0.544,0.764,0.337,73,2006,sg_tee_to_green
7,8,Luke Donald,66,1.514,0.074,0.931,0.509,43,2006,sg_tee_to_green
8,7,Ernie Els,69,1.37,0.344,0.408,0.619,47,2006,sg_tee_to_green
9,9,Greg Owen,79,1.193,0.636,0.505,0.053,62,2006,sg_tee_to_green
10,10,Stuart Appleby,83,1.143,0.33,0.222,0.591,64,2006,sg_tee_to_green
11,12,Lucas Glover,105,1.125,0.724,0.51,-0.109,86,2006,sg_tee_to_green
12,11,Sergio Garcia,59,1.122,0.383,0.719,0.02,39,2006,sg_tee_to_green
13,13,Padraig Harrington,54,1.051,0.233,0.744,0.074,38,2006,sg_tee_to_green
14,25,Retief Goosen,68,1.016,0.229,0.574,0.213,46,2006,sg_tee_to_green
15,15,Ian Poulter,53,1.009,0.456,0.345,0.207,42,2006,sg_tee_to_green
16,18,Joe Durant,101,0.991,0.75,0.486,-0.244,96,2006,sg_tee_to_green
17,16,Jason Bohn,104,0.976,0.262,0.428,0.285,89,2006,sg_tee_to_green
18,19,Jonathan Byrd,66,0.943,0.543,0.247,0.153,54,2006,sg_tee_to_green
19,20,John Senden,96,0.938,0.524,0.387,0.026,79,2006,sg_tee_to_green
20,17,Arron Oberholser,82,0.927,0.095,0.589,0.243,62,2006,sg_tee_to_green
21,21,Camilo Villegas,95,0.922,0.629,0.249,0.045,82,2006,sg_tee_to_green
22,23,Kenny Perry,73,0.918,0.742,0.412,-0.236,60,2006,sg_tee_to_green
23,22,David Toms,76,0.911,0.293,0.453,0.164,62,2006,sg_tee_to_green
24,24,Robert Allenby,79,0.903,0.524,0.481,-0.103,60,2006,sg_tee_to_green
25,14,Rory Sabbatini,84,0.893,0.258,0.323,0.313,64,2006,sg_tee_to_green
26,27,Charles Warren,93,0.884,0.74,0.353,-0.209,81,2006,sg_tee_to_green
27,28,Steve Stricker,64,0.875,0.006,0.398,0.472,52,2006,sg_tee_to_green
28,29,Bubba Watson,83,0.846,0.807,0.196,-0.157,72,2006,sg_tee_to_green
29,30,José María Olazábal,62,0.837,-0.122,0.449,0.51,39,2006,sg_tee_to_green
30,32,Mike Weir,88,0.799,0.142,0.422,0.235,63,2006,sg_tee_to_green
31,31,Brett Wetterich,82,0.789,0.801,0.079,-0.092,73,2006,sg_tee_to_green
32,33,Zach Johnson,98,0.761,0.418,0.254,0.089,77,2006,sg_tee_to_green
33,36,Justin Rose,98,0.746,0.052,0.616,0.078,86,2006,sg_tee_to_green
34,37,Stephen Ames,63,0.745,0.06,0.763,-0.079,44,2006,sg_tee_to_green
35,38,Vaughn Taylor,88,0.692,-0.039,0.524,0.208,77,2006,sg_tee_to_green
36,39,Frank Lickliter II,99,0.69,0.14,0.406,0.143,85,2006,sg_tee_to_green
37,40,Jeff Gove,91,0.683,0.255,0.245,0.183,81,2006,sg_tee_to_green
38,41,Bo Van Pelt,102,0.682,0.437,0.118,0.127,90,2006,sg_tee_to_green
39,42,Tom Lehman,70,0.68,0.306,0.308,0.065,47,2006,sg_tee_to_green
40,44,Briny Baird,81,0.668,0.235,0.58,-0.147,70,2006,sg_tee_to_green
41,46,J.J. Henry,96,0.632,0.223,0.37,0.039,77,2006,sg_tee_to_green
42,34,K.J. Choi,93,0.624,0.253,0.277,0.094,79,2006,sg_tee_to_green
T43,47,Fred Funk,106,0.606,0.159,0.357,0.09,85,2006,sg_tee_to_green
T43,43,Brett Quigley,109,0.606,0.025,0.372,0.209,94,2006,sg_tee_to_green
45,48,Brian Davis,92,0.604,0.291,0.118,0.195,81,2006,sg_tee_to_green
46,26,Davis Love III,85,0.586,0.446,0.488,-0.347,57,2006,sg_tee_to_green
47,49,Scott Verplank,88,0.573,0.069,0.332,0.171,68,2006,sg_tee_to_green
48,50,Charley Hoffman,100,0.566,0.516,0.097,-0.047,89,2006,sg_tee_to_green
49,35,Stewart Cink,93,0.557,-0.139,0.759,-0.063,73,2006,sg_tee_to_green
T50,T52,Fred Couples,52,0.551,0.543,0.08,-0.072,32,2006,sg_tee_to_green
T50,T52,Tim Clark,80,0.551,-0.164,0.867,-0.151,58,2006,sg_tee_to_green
52,54,Alex Cejka,93,0.542,0.042,0.434,0.066,80,2006,sg_tee_to_green
T53,T55,Charles Howell III,96,0.541,0.262,0.165,0.114,79,2006,sg_tee_to_green
T53,T55,Shaun Micheel,96,0.541,-0.153,0.637,0.056,78,2006,sg_tee_to_green
55,57,Bart Bryant,87,0.533,0.299,0.379,-0.145,71,2006,sg_tee_to_green
56,45,Chad Campbell,91,0.497,-0.169,0.454,0.211,67,2006,sg_tee_to_green
57,59,Jonathan Kaye,95,0.495,0.478,0.009,0.008,86,2006,sg_tee_to_green
58,60,Tim Herron,82,0.47,0.115,0.18,0.175,62,2006,sg_tee_to_green
59,61,Heath Slocum,96,0.469,0.333,0.328,-0.192,84,2006,sg_tee_to_green
60,62,Jerry Kelly,100,0.468,-0.012,0.212,0.268,84,2006,sg_tee_to_green
61,51,Geoff Ogilvy,76,0.451,0.137,0.127,0.188,52,2006,sg_tee_to_green
62,63,Omar Uresti,61,0.446,0.131,-0.054,0.368,51,2006,sg_tee_to_green
63,64,Steve Lowery,99,0.436,0.247,0.178,0.011,83,2006,sg_tee_to_green
64,58,Carl Pettersson,95,0.427,0.115,0.003,0.309,75,2006,sg_tee_to_green
65,67,Joey Sindelar,90,0.415,-0.022,0.792,-0.355,76,2006,sg_tee_to_green
T66,T68,Ted Purdy,103,0.412,0.119,0.439,-0.147,80,2006,sg_tee_to_green
T66,T68,Pat Perez,50,0.412,-0.053,0.195,0.27,42,2006,sg_tee_to_green
68,70,Nick Watney,97,0.411,0.385,-0.115,0.141,86,2006,sg_tee_to_green
69,66,Tom Pernice Jr.,108,0.406,0.068,0.045,0.293,87,2006,sg_tee_to_green
70,71,Robert Garrigus,85,0.401,0.334,0.284,-0.217,74,2006,sg_tee_to_green
71,72,Justin Leonard,83,0.397,-0.154,0.111,0.441,65,2006,sg_tee_to_green
72,73,Peter Lonard,77,0.396,0.095,0.067,0.234,66,2006,sg_tee_to_green
73,75,Jeff Sluman,101,0.382,-0.258,0.457,0.183,83,2006,sg_tee_to_green
74,76,Billy Mayfair,94,0.37,0.192,0.077,0.101,77,2006,sg_tee_to_green
75,77,Steve Elkington,52,0.363,0.302,-0.153,0.213,46,2006,sg_tee_to_green
76,78,Jesper Parnevik,84,0.351,0.259,0.006,0.086,73,2006,sg_tee_to_green
77,79,Hunter Mahan,98,0.346,0.295,0.312,-0.261,89,2006,sg_tee_to_green
78,80,Steve Flesch,119,0.335,-0.102,0.202,0.236,103,2006,sg_tee_to_green
79,81,Craig Barlow,77,0.333,-0.075,0.032,0.376,58,2006,sg_tee_to_green
80,82,J.B. Holmes,81,0.327,0.758,-0.28,-0.151,63,2006,sg_tee_to_green
81,83,Kevin Sutherland,100,0.318,0.203,-0.148,0.263,87,2006,sg_tee_to_green
82,84,Mathew Goggin,72,0.308,0.457,-0.046,-0.104,58,2006,sg_tee_to_green
83,85,Bill Haas,99,0.303,0.054,0.141,0.109,88,2006,sg_tee_to_green
84,86,Billy Andrade,78,0.302,-0.301,0.348,0.255,60,2006,sg_tee_to_green
85,87,Bob May,65,0.292,0.033,0.284,-0.025,54,2006,sg_tee_to_green
86,88,Bob Estes,85,0.259,-0.301,0.497,0.064,75,2006,sg_tee_to_green
87,89,Will MacKenzie,91,0.256,0.229,0.054,-0.027,75,2006,sg_tee_to_green
88,90,Ryuji Imada,105,0.251,-0.165,0.1,0.315,87,2006,sg_tee_to_green
89,91,John Rollins,93,0.248,0.264,0.021,-0.036,76,2006,sg_tee_to_green
90,92,Mathias Grönberg,92,0.241,0.449,-0.052,-0.156,79,2006,sg_tee_to_green
91,93,Corey Pavin,74,0.232,-0.861,0.653,0.439,57,2006,sg_tee_to_green
92,94,Paul Goydos,72,0.231,-0.189,0.188,0.232,64,2006,sg_tee_to_green
93,96,Brandt Jobe,91,0.22,0.2,0.265,-0.244,70,2006,sg_tee_to_green
