RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,TOTAL,DISTANCE RANK,ACCURACY RANK,year,measure
1,1,Jeff Brehaut,34,79,62,17,2004,total_driving
2,2,John Senden,28,94,23,71,2004,total_driving
T3,T3,Lucas Glover,30,99,6,93,2004,total_driving
T3,T3,Ted Purdy,35,99,76,23,2004,total_driving
T5,T5,Joe Durant,26,101,97,4,2004,total_driving
T5,T5,J.J. Henry,30,101,10,91,2004,total_driving
7,7,Jason Bohn,29,110,41,69,2004,total_driving
8,8,Craig Barlow,25,111,61,50,2004,total_driving
9,9,Brian Bateman,24,113,48,65,2004,total_driving
10,10,Bo Van Pelt,30,114,36,78,2004,total_driving
11,11,Robert Allenby,26,116,34,82,2004,total_driving
12,12,Harrison Frazar,25,117,18,99,2004,total_driving
13,13,Jay Williamson,33,118,85,33,2004,total_driving
T14,T14,Cameron Beckman,30,121,59,62,2004,total_driving
T14,T14,Geoff Ogilvy,26,121,7,114,2004,total_driving
T16,T16,Scott McCarron,27,123,39,84,2004,total_driving
T16,T16,Joey Sindelar,31,123,53,70,2004,total_driving
18,18,Vaughn Taylor,27,125,46,79,2004,total_driving
19,19,Tom Lehman,19,126,97,29,2004,total_driving
20,20,Mike Heinen,17,127,4,123,2004,total_driving
21,21,Zach Johnson,30,128,113,15,2004,total_driving
22,22,Roland Thatcher,23,129,43,86,2004,total_driving
23,23,Kent Jones,32,130,103,27,2004,total_driving
24,24,Pat Perez,32,134,54,80,2004,total_driving
25,25,John Rollins,29,137,101,36,2004,total_driving
26,26,Billy Mayfair,32,140,118,22,2004,total_driving
27,27,Notah Begay III,23,141,110,31,2004,total_driving
28,28,Ryan Palmer,33,142,29,113,2004,total_driving
29,29,Brent Geiberger,31,143,56,87,2004,total_driving
T30,T30,Bart Bryant,23,145,138,7,2004,total_driving
T30,T30,Steve Elkington,20,145,100,45,2004,total_driving
32,32,Mark Calcavecchia,24,148,56,92,2004,total_driving
33,33,Olin Browne,30,150,142,8,2004,total_driving
34,34,Phil Mickelson,22,151,30,121,2004,total_driving
T35,T35,Jonathan Kaye,25,152,62,90,2004,total_driving
T35,T35,Mark Wilson,19,152,138,14,2004,total_driving
T37,T37,Frank Lickliter II,27,154,94,60,2004,total_driving
T37,T37,Kenny Perry,23,154,26,128,2004,total_driving
39,39,Matt Gogel,25,155,113,42,2004,total_driving
T40,T40,Briny Baird,30,156,73,83,2004,total_driving
T40,T40,J.L. Lewis,32,156,83,73,2004,total_driving
T40,T40,Rocco Mediate,19,156,131,25,2004,total_driving
T40,T40,Tom Pernice Jr.,31,156,109,47,2004,total_driving
T40,T40,Duffy Waldorf,26,156,116,40,2004,total_driving
45,45,Arron Oberholser,23,159,122,37,2004,total_driving
46,46,Rich Beem,28,160,22,138,2004,total_driving
T47,T47,Chris Smith,33,161,5,156,2004,total_driving
T47,T47,Kevin Sutherland,27,161,105,56,2004,total_driving
T47,T47,Hidemichi Tanaka,27,161,150,11,2004,total_driving
T50,T50,Jonathan Byrd,27,162,28,134,2004,total_driving
T50,T50,Robert Gamez,31,162,85,77,2004,total_driving
T52,T52,Dennis Paulson,21,163,14,149,2004,total_driving
T52,T52,Vijay Singh,29,163,13,150,2004,total_driving
T54,T54,Retief Goosen,16,164,38,126,2004,total_driving
T54,T54,Brian Kortan,24,164,47,117,2004,total_driving
T56,T56,Richard Johnson,32,165,131,34,2004,total_driving
T56,T56,Davis Love III,24,165,14,151,2004,total_driving
58,58,Stuart Appleby,25,167,42,125,2004,total_driving
59,59,Woody Austin,29,168,56,112,2004,total_driving
60,60,D.J. Brigman,27,169,65,104,2004,total_driving
T61,T61,Steve Allan,33,170,11,159,2004,total_driving
T61,T61,Stephen Ames,27,170,89,81,2004,total_driving
T61,T61,David Branshaw,30,170,110,60,2004,total_driving
T61,T61,John Huston,20,170,103,67,2004,total_driving
65,65,José Coceres,20,172,166,6,2004,total_driving
66,66,Mark Hensby,29,173,122,51,2004,total_driving
T67,T67,Heath Slocum,31,175,157,18,2004,total_driving
T67,T67,Scott Verplank,24,175,173,2,2004,total_driving
69,69,Hunter Mahan,30,176,45,131,2004,total_driving
70,70,Charles Howell III,30,177,82,95,2004,total_driving
71,71,Kris Cox,26,178,16,162,2004,total_driving
T72,T72,Glen Day,33,179,107,72,2004,total_driving
T72,T72,Kirk Triplett,24,179,167,12,2004,total_driving
T74,T74,Tim Clark,26,181,168,13,2004,total_driving
T74,T74,Roger Tambellini,28,181,21,160,2004,total_driving
T76,T76,Jeff Maggert,20,183,148,35,2004,total_driving
T76,T76,Hirofumi Miyase,27,183,163,20,2004,total_driving
78,78,Deane Pappas,22,184,32,152,2004,total_driving
79,79,Andre Stolz,20,185,20,165,2004,total_driving
80,80,Justin Leonard,25,187,134,53,2004,total_driving
81,81,Scott Simpson,18,188,169,19,2004,total_driving
T82,T82,Chad Campbell,28,189,87,102,2004,total_driving
T82,T82,Chris Couch,24,189,8,181,2004,total_driving
T82,T82,Matt Kuchar,28,189,94,95,2004,total_driving
T85,T85,Scott Hend,29,191,2,189,2004,total_driving
T85,T85,Skip Kendall,29,191,146,45,2004,total_driving
T85,T85,Patrick Sheehan,33,191,72,119,2004,total_driving
T85,T85,Tiger Woods,19,191,9,182,2004,total_driving
T89,T89,Luke Donald,21,192,162,30,2004,total_driving
T89,T89,Jason Dufner,28,192,65,127,2004,total_driving
T89,T89,Scott Hoch,17,192,154,38,2004,total_driving
T89,T89,Tag Ridings,18,192,12,180,2004,total_driving
T93,T93,Fred Funk,29,193,192,1,2004,total_driving
T93,T93,Jerry Kelly,29,193,172,21,2004,total_driving
T95,T95,Tom Byrum,25,195,190,5,2004,total_driving
T95,T95,Daniel Chopra,33,195,26,169,2004,total_driving
T95,T95,John Daly,22,195,3,192,2004,total_driving
T98,T98,Craig Bowden,30,196,193,3,2004,total_driving
T98,T98,Peter Lonard,23,196,54,142,2004,total_driving
T98,T98,Kevin Na,32,196,157,39,2004,total_driving
T101,T101,Hank Kuehne,30,197,1,196,2004,total_driving
T101,T101,Dicky Pride,23,197,153,44,2004,total_driving
T103,T103,Tommy Armour III,28,199,70,129,2004,total_driving
T103,T103,Danny Briggs,28,199,125,74,2004,total_driving
T105,T105,Fred Couples,16,201,35,166,2004,total_driving
T105,T105,Omar Uresti,28,201,191,10,2004,total_driving
T107,T107,Robert Damron,28,202,178,24,2004,total_driving
T107,T107,Spike McRoy,33,202,145,57,2004,total_driving
T109,T109,John Cook,19,203,194,9,2004,total_driving
T109,T109,J.P. Hayes,27,203,152,51,2004,total_driving
T111,T111,Ernie Els,16,204,19,185,2004,total_driving
T111,T111,Sergio Garcia,18,204,33,171,2004,total_driving
