RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,TOTAL,DISTANCE RANK,ACCURACY RANK,year,measure
1,1,Andrew Novak,2,35,17,18,2007,total_driving
2,3,Viktor Hovland,4,63,16,47,2007,total_driving
3,4,Chase Koepka,2,72,34,38,2007,total_driving
4,5,John Oda,2,74,70,4,2007,total_driving
5,6,D.J. Trahan,7,91,47,44,2007,total_driving
6,8,Gary Woodland,4,98,94,4,2007,total_driving
7,9,Branden Grace,4,99,21,78,2007,total_driving
T8,10,Patrick Cantlay,3,103,86,17,2007,total_driving
T8,7,Doc Redman,10,103,77,26,2007,total_driving
10,2,Ryan Moore,5,105,94,11,2007,total_driving
11,13,Scottie Scheffler,8,126,15,111,2007,total_driving
12,T19,Kyoung-Hoon Lee,10,128,106,22,2007,total_driving
13,14,Martin Laird,8,129,42,87,2007,total_driving
14,11,Kevin Streelman,9,130,62,68,2007,total_driving
15,25,Jhonattan Vegas,6,132,24,108,2007,total_driving
T16,15,Nick Taylor,8,133,109,24,2007,total_driving
T16,T23,Brendan Steele,8,133,63,70,2007,total_driving
18,12,Harris English,7,135,36,99,2007,total_driving
T19,T27,Harry Higgs,10,140,79,61,2007,total_driving
T19,T27,Sung Kang,7,140,53,87,2007,total_driving
T21,22,Emiliano Grillo,7,142,110,32,2007,total_driving
T21,18,Bubba Watson,4,142,1,141,2007,total_driving
23,T19,Bryson DeChambeau,3,144,13,131,2007,total_driving
24,T52,Matthew Wolff,5,145,40,105,2007,total_driving
25,29,Joel Dahmen,8,149,100,49,2007,total_driving
26,16,Jason Kokrak,5,153,8,145,2007,total_driving
27,17,Josh Teater,6,156,83,73,2007,total_driving
28,T23,Cameron Champ,7,157,2,155,2007,total_driving
29,33,Ryan Palmer,5,160,146,14,2007,total_driving
30,T35,Adam Hadwin,5,164,121,43,2007,total_driving
31,26,Sungjae Im,8,165,50,115,2007,total_driving
32,31,Henrik Norlander,10,168,132,36,2007,total_driving
T33,38,Boo Weekley,5,169,147,22,2007,total_driving
T33,T35,Harold Varner III,7,169,18,151,2007,total_driving
35,37,Lanto Griffin,10,170,40,130,2007,total_driving
36,T19,Lucas Glover,7,174,98,76,2007,total_driving
37,34,Scott Brown,9,175,151,24,2007,total_driving
38,T44,Sebastián Muñoz,10,176,60,116,2007,total_driving
T39,40,Daniel Berger,6,177,56,121,2007,total_driving
T39,42,Keegan Bradley,7,177,71,106,2007,total_driving
41,39,Chesson Hadley,7,179,106,73,2007,total_driving
42,43,Webb Simpson,3,182,170,12,2007,total_driving
43,48,Danny Lee,7,185,9,176,2007,total_driving
44,T50,Pat Perez,6,186,130,56,2007,total_driving
45,T52,Matthew NeSmith,9,188,154,34,2007,total_driving
46,T99,Sepp Straka,10,191,92,99,2007,total_driving
T47,T90,Isaiah Salinda,3,192,14,178,2007,total_driving
T47,T56,John Merrick,4,192,135,57,2007,total_driving
T49,T50,Jim Furyk,3,193,192,1,2007,total_driving
T49,55,Chad Campbell,4,193,178,15,2007,total_driving
T49,T44,Wyndham Clark,7,193,32,161,2007,total_driving
52,32,Alex Noren,4,195,108,87,2007,total_driving
53,,Rickie Fowler,2,196,194,2,2007,total_driving
T54,T56,Tony Finau,5,198,12,186,2007,total_driving
T54,T62,Phil Mickelson,5,198,31,167,2007,total_driving
T54,T62,Aaron Wise,7,198,51,147,2007,total_driving
T54,T69,Chase Seiffert,9,198,127,71,2007,total_driving
T58,T73,Abraham Ancer,8,199,113,86,2007,total_driving
T58,61,Adam Schenk,10,199,33,166,2007,total_driving
T58,T64,Scott Harrington,9,199,34,165,2007,total_driving
T61,T52,Brian Harman,8,200,143,57,2007,total_driving
T61,47,Jason Dufner,7,200,140,60,2007,total_driving
T61,59,Cameron Smith,6,200,77,123,2007,total_driving
T64,46,Kramer Hickok,9,201,124,77,2007,total_driving
T64,60,Matt Jones,8,201,49,152,2007,total_driving
66,30,Robby Shelton,10,202,88,114,2007,total_driving
T67,83,Grayson Murray,6,203,4,199,2007,total_driving
T67,T73,Russell Knox,8,203,138,65,2007,total_driving
69,41,Denny McCarthy,8,204,101,103,2007,total_driving
70,T80,Sam Ryder,10,209,53,156,2007,total_driving
71,58,Brice Garnett,8,214,150,64,2007,total_driving
72,66,Michael Thompson,7,215,175,40,2007,total_driving
73,76,Collin Morikawa,6,216,168,48,2007,total_driving
T74,T69,Derek Ernst,4,217,80,137,2007,total_driving
T74,T67,Adam Long,10,217,189,28,2007,total_driving
T74,96,Andrew Landry,9,217,171,46,2007,total_driving
77,T84,Akshay Bhatia,5,218,7,211,2007,total_driving
78,T69,Rod Pampling,3,220,28,192,2007,total_driving
79,136,Nick Watney,7,222,73,149,2007,total_driving
T80,T84,Hideki Matsuyama,6,223,115,108,2007,total_driving
T80,115,Doug Ghim,7,223,116,107,2007,total_driving
T80,T90,Kristoffer Ventura,9,223,44,179,2007,total_driving
T83,T73,Byeong Hun An,8,225,10,215,2007,total_driving
T83,T90,Chandler Phillips,2,225,57,168,2007,total_driving
T83,T69,Brian Stuard,10,225,215,10,2007,total_driving
T83,T97,Alex Cejka,5,225,175,50,2007,total_driving
T83,T80,Ryan Armour,9,225,217,8,2007,total_driving
T88,T90,Graham DeLaet,5,226,36,190,2007,total_driving
T88,T77,Tim Wilkinson,6,226,189,37,2007,total_driving
T88,T86,Brandon Wu,2,226,188,38,2007,total_driving
T91,T88,Hank Lebioda,9,228,104,124,2007,total_driving
T91,79,Charles Howell III,9,228,69,159,2007,total_driving
93,T67,Tyler McCumber,9,229,11,218,2007,total_driving
94,T90,Fabián Gómez,9,230,167,63,2007,total_driving
95,T90,Brendon Todd,11,231,228,3,2007,total_driving
T96,49,Cameron Percy,8,233,61,172,2007,total_driving
T96,T99,Adam Scott,4,233,46,187,2007,total_driving
T96,T80,Luke List,9,233,80,153,2007,total_driving
T96,T86,Russell Henley,8,233,179,54,2007,total_driving
T96,T130,Mackenzie Hughes,8,233,101,132,2007,total_driving
101,T109,J.T. Poston,9,234,175,59,2007,total_driving
102,T64,Vince Covello,8,235,73,162,2007,total_driving
103,T99,Xinjun Zhang,10,236,116,120,2007,total_driving
104,105,K.J. Choi,3,237,233,4,2007,total_driving
T105,107,Tim Herron,4,238,220,18,2007,total_driving
T105,T109,Corey Conners,7,238,186,52,2007,total_driving
T107,108,Keith Mitchell,7,239,135,104,2007,total_driving
T107,T130,Cameron Davis,8,239,22,217,2007,total_driving
T107,T99,Richy Werenski,4,239,45,194,2007,total_driving
T107,T88,Vaughn Taylor,8,239,212,27,2007,total_driving
111,168,Chris Baker,9,240,168,72,2007,total_driving
T112,T112,Jim Herman,8,241,221,20,2007,total_driving
T112,T127,Scott Piercy,8,241,105,136,2007,total_driving
T114,T120,J.J. Henry,5,242,173,69,2007,total_driving
T114,T103,Tyler Duncan,10,242,221,21,2007,total_driving
116,T112,Davis Riley,2,243,83,160,2007,total_driving
T117,T125,Bo Hoag,10,244,127,117,2007,total_driving
T117,T116,Chez Reavie,9,244,228,16,2007,total_driving
119,T116,Matt Kuchar,4,245,238,7,2007,total_driving
